Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
Polisi Tahan 8 Tersangka Perusakan dan Penjarahan Gedung DPRD NTB,"MATARAM, KOMPAS.com - Kepolisian menangkap dan menahan delapan orang tersangka yang diduga terlibat dalam perusakan dan penjarahan Gedung DPRD NTB dalam aksi demonstrasi yang berlangsung pada 30 Agustus 2025.Aksi demonstrasi tersebut berujung rusuh dan mengakibatkan gedung DPRD NTB hangus dibakar massa.Kasus perusakan dan penjarahan ini kini ditangani Satreskrim Polresta Mataram.Dalam proses penyelidikan, polisi telah memeriksa 17 saksi, termasuk petugas satpam jaga DPRD NTB, Kabag Umum, dan Sekwan DPRD NTB.Dari hasil penyelidikan, delapan orang tersangka yang ditahan berinisial IP, J, ASS, JE, MF, AR, IQ dan RG.Baca juga: Gedung DPRD NTB yang Hangus Dibakar Akan Direnovasi Jadi Bangunan Tahan GempaSelain itu, empat anak yang berkonflik dengan hukum (ABH) juga telah ditetapkan sebagai tersangka, yaitu DIH, AZA, MM dan MAH.""Upaya penangkapan dan penahanan terhadap tersangka dewasa, sedangkan anak yang berproses dengan hukum itu sudah dipulangkan dan dalam pengawasan orang tua, serta akan dilakukan upaya diversi dalam rangka kepentingan terbaik buat anak,"" ungkap Plt Wadir Reskrimum Polda NTB, AKBP Ni Made Pujawati, di Polda NTB, Rabu (17/9/2025).Polisi juga berhasil mengamankan sejumlah barang bukti, termasuk dua unit DVR CCTV, batu, pecahan batako, potongan kayu, pecahan kaca, kayu bekas terbakar, tiang lampu taman, besi penyangga gerbang, serta flashdisk berisi rekaman video dan foto.Kejadian perusakan dan penjarahan Gedung DPRD NTB bermula dari aksi demonstrasi yang berlangsung pada hari Sabtu (30/8/2025) sekitar pukul 12.30 Wita.Baca juga: Gedung Rusak Dibakar Massa, DPRD NTB Gelar Rapat Paripurna di Kantor GubernurSaat itu, massa aksi melempar petugas dan merusak bangunan kantor DPRD NTB.Selain itu, massa juga merusak pos keamanan di gerbang masuk dengan memecahkan kaca dan membakar pos tersebut.Gerbang tengah kantor DPRD NTB juga dijebol dengan cara digoyangkan hingga roboh.Gedung sekretariat DPRD NTB yang terletak bersebelahan dengan Gedung DPRD NTB juga tidak luput dari amukan massa.Massa melakukan pembakaran di bagian gudang dan memecahkan kaca gedung tersebut.Dalam situasi yang tidak terkendali, terjadi juga aksi penjarahan terhadap barang-barang milik Kantor DPRD NTB.Hingga saat ini, jumlah kerugian akibat kasus pembakaran Gedung DPRD NTB masih dalam proses penghitungan.Baca juga: Polisi Imbau Masyarakat Kembalikan Barang yang Diambil dari Gedung DPRD NTBPara tersangka terancam dijerat dengan Pasal 170 ayat (1) KUHP dan atau Pasal 406 KUHP tentang kekerasan terhadap orang atau barang, dengan ancaman hukuman maksimal 5 tahun 6 bulan dan atau 2 tahun 8 bulan.Sementara itu, polisi masih menunggu hasil uji laboratorium forensik (labfor) Polda Bali terkait kasus pembakaran gedung DPRD NTB dalam aksi demonstrasi tersebut.",17/09/2025,REGIONAL
"Utang Petani Indramayu Hampir Rp 1,5 T, Dinas Pertanian Ambil Langkah","INDRAMAYU, KOMPAS.com – Sekretaris Dinas Ketahanan Pangan dan Pertanian (DKPP) Kabupaten Indramayu, Muhammad Iqbal, menanggapi persoalan utang petani Kabupaten Indramayu yang mencapai hampir Rp 1,5 triliun.Data tersebut, menurut Iqbal, dikeluarkan Badan Pusat Statistik (BPS) berdasarkan laporan Otoritas Jasa Keuangan (OJK) tahun 2023.“Utang itu pun tidak hanya dimiliki petani saja, tetapi juga disumbang sektor lain yang berkaitan dengan pertanian seperti penggilingan padi, dan lain-lain,” ujar dia saat ditemui di Gedung DPRD Indramayu, Rabu (17/9/2025).Baca juga: Utang Petani Indramayu di Bank Umum Hampir Rp 1,5 Triliun, Tim Neraca BPS: Masih WajarDi DPRD Indramayu, DKPP baru saja selesai melaksanakan rapat kerja dengan Komisi II DPRD Indramayu. Salah satu hasil rapat adalah upaya meningkatkan produktivitas pertanian untuk menjamin petani bisa melunasi utang mereka di bank sekaligus meningkatkan kesejahteraan.DKPP berkomitmen terus menjaga produktivitas hasil panen petani dari Indramayu, sekaligus mempertahankan status Indramayu sebagai lumbung pangan nasional.Pada 2024, produksi gabah kering panen (GKP) Indramayu tercatat mencapai 1,7 juta ton. Iqbal optimistis pada 2025 produktivitas petani bisa meningkat.Baca juga: Mahasiswa Bongkar Utang Petani Indramayu Nyaris Rp 1,5 Triliun, DPRD Kaget“Saat ini rata-rata panen petani itu 7 ton per hektare, kita upayakan bisa mencapai 7,3 atau 7,5 ton per hektare,” ujar dia.Iqbal menambahkan, DKPP akan berupaya menjembatani petani agar sarana dan prasarana seperti irigasi yang dibutuhkan bisa tercukupi. Begitu pula penanganan hama, hingga bantuan penunjang lainnya seperti ketersediaan pupuk bersubsidi dan benih.“Saat panen petani tinggi, insya Allah pendapatan petani juga akan meningkat,” kata dia.",17/09/2025,REGIONAL
"Peraturan Baru SNPMB 2026, SNBP Wajib TKA dan SNBT Tetap UTBK","KOMPAS.com - Panitia Seleksi Nasional Penerimaan Mahasiswa Baru (SNPMB) 2026 menerapkan aturan baru. Dalam seleksi yang dimulai akhir tahun 2025 ini, terdapat perbedaan jalur penerimaan perguruan tinggi negeri (PTN).SNBP 2026 kini tidak hanya mengandalkan nilai rapor, tetapi juga wajib menyertakan Tes Kemampuan Akademik (TKA). Baca juga: Poin-poin Penting Terkait Pelaksanaan SNPMB 2026Sementara itu, jalur SNBT tetap mengandalkan Ujian Tulis Berbasis Komputer (UTBK) dengan komposisi tes berbeda.Lantas, bagaimana perbedaan dua jalur dalam SNPMB 2026 yang akan dimulai akhir tahun ini? Berbeda dengan tahun sebelumnya, SNBP 2026 menilai calon mahasiswa melalui rapor sekaligus komponen tambahan. Ketua SNPMB 2026 Eduart Wolok menjelaskan, nilai rapor minimal harus mencakup 50 persen.Sementara sisanya dapat berasal dari dua mata pelajaran pendukung program studi, portofolio, atau prestasi dengan bobot maksimal 50 persen.""SNBP dilakukan berdasarkan hasil penelusuran prestasi akademik dengan menggunakan rapor serta prestasi nonakademik yang telah ditetapkan oleh PTN,"" ujar Eduart, dikutip dari saluran YouTube SNPMB ID, Selasa (16/9/2025). Ia menambahkan, meskipun banyak siswa memiliki rapor tinggi, tidak semuanya bisa lolos SNBP. ""Jadi nilai rapor adalah salah satu indikator, bukan satu-satunya,"" sambungnya.Selain itu, pihak sekolah berperan penting karena mereka yang mengunggah data rapor dan prestasi siswa ke sistem.Dengan aturan baru, siswa yang ingin mengikuti SNBP wajib mengikuti TKA.Baca juga: Siswa yang Lulus SNBP 2026 Tidak Bisa Daftar UTBK dan UM, Ketua SNPMB Beri Tips Pilih ProdiDi sisi lain, jalur SNBT tidak menggunakan TKA. Mekanisme seleksi dilakukan melalui UTBK yang terdiri atas Tes Potensi Skolastik (TPS) dan Tes Literasi.TPS meliputi penalaran induktif, deduktif, kuantitatif, pengetahuan umum, serta pemahaman bacaan dan menulis. ",17/09/2025,TREN
"Skor PISA Siswa Indonesia di Bawah Rata-rata, Pendidikan STEM Bisa Jadi Solusi","JAKARTA, KOMPAS.com - Penasihat Ahli Kemendikdasmen, Dr. Stephanie Riady, B.A., M.Ed., Ed.D. membagikan pandangannya tentang STEM (Science, Technology, Engineering, Mathematics) dalam perayaan HUT Ke-30 Kompas.com bertajuk Jagat Literasi, Senin (15/9/2025). Stephanie mengangkat topik Pendidikan STEM Sejak Dini: Siapkan Generasi Kaya Inovasi. Menurut wanita yang juga merupakan Executive Director Pelita Harapan Group ini, revolusi industri 4.0 dengan kecerdasan buatan dan disrupsi teknologi telah mengubah wajah dunia. STEM adalah literasi abad ini yang akan menentukan daya saing generasi kita di masa depan. Maka itu, pendidikan STEM sejak dini perlu diterapkan ke generasi penerus bangsa.Baca juga: Riady Foundation Gelontorkan Rp 500 Milyar untuk Pendidikan AI-STEM ""Lebih dari sekedar keterampilan teknis, STEM menanamkan kemampuan berpikir kritis, memecahkan masalah kompleks, membaca pola, dan juga mengambil keputusan berbasis data,"" kata Stephanie di Menara Kompas, Jakarta Pusat. Menurut hasil Programme for International Student Assessment (PISA) 2022, Indonesia berada di peringkat 72 dari 79 negara OECD dalam pencapaian sains dengan rata-rata 366 poin, jauh di bawah rata-rata OECD yaitu 472 poin. Nilai sains Indonesia termasuk yang terendah di ASEAN. Sementara negara-negara seperti Singapura, Vietnam, dan Malaysia jauh lebih unggul dibandingkan Indonesia. ""STEM bukan saja sebuah rumus, robot, atau laboratorium. STEM adalah pola pikir, STEM mengajarkan anak-anak kita untuk berani bertanya sebelum menjawab, dan berani mencari solusi sebelum menyerah, dan berkolaborasi sebelum berkompetisi,"" jelasnya. Ia mengajak pemerintah, dunia usaha, akademisi, media, dan masyarakat untuk bergerak bersama menyiapkan generasi masa depan untuk menciptakan perubahan.Baca juga: Kuota Beasiswa LPDP 2025-2026 Terbatas, Tahun Ini Hanya 4.000 Awardee Menurutnya pemerintah perlu merancang kurikulum STEM yang kontekstual dan relevan dengan masa depan. Sekaligus melatih guru agar memiliki kompetensi untuk mengajar yang kreatif, yang interaktif, dan juga inspiratif. ""Industri harus membuka akses terhadap teknologi, memberikan peluang magang, dan menyediakan laboratorium inovasi. Orangtua dan masyarakat perlu menciptakan budaya bertanya, mendukung eksperimen, dan memberi ruang bagi anak-anak untuk berimajinasi,"" ujarnya.Stephanie setuju bahwa guru-guru memerlukan dukungan masif untuk mengajarkan STEM ke murid. Pasalnya umumnya guru menempuh pendidikan prodi Pendidikan Dasar namun belum mendapat pelatihan tentang STEM secara spesifik. Stephanie mengambil contoh dari hasil studi bandingnya dengan sekolah-sekolah swasta di India yang sangat sistematis membantu guru. ""Jadi setiap guru sudah dibekali dengan materi, dengan kurikulum, dan juga dengan tools. Jadi ada box yang mereka bisa unbox, dan mereka bisa mengajar modul-modul dasar dalam sains teknologi dan lain-lain,"" ungkapnya.Baca juga: TKA Jadi Syarat Seleksi PTN 2026, Perhimpunan Guru: Hadirkan Persoalan Zaman UN ""Karena gimana pun juga, walaupun sains teknologi itu interdisipliner, tetapi fondasi pembelajaran sains dan matematika itu sangat penting. Pembelajaran matematika pun enggak selalu equal dari berbagai approach,"" tambah Stephanie.",17/09/2025,EDUKASI
"Ada Kuliner Cita Rasa Manado di Pasar Tunjungan Surabaya, Tertarik?","SURABAYA, KOMPAS.com - Terletak di lantai dua Pasar Tunjungan, Surabaya, berdiri sebuah warung sederhana yang tidak hanya menjual makanan, tetapi juga membawa pengunjung pada suasana berbeda.Namanya Warung Bagejo, sebuah ruang kuliner yang sejak 14 September 2024 lalu jadi tempat bertemunya aroma masakan Manado, musik lawas, hingga suasana akrab ala warung kampung.Baca juga: 3 Tempat Wisata di Surabaya Timur yang Gratis Tiket MasukPemiliknya, Faldi Posumah, mempunyai alasan tersendiri memilih nama “Bagejo”. Bage itu artinya berbagi sedangkan Jo itu saja.""Jadi maknanya berbagi berkat lewat makanan dan minuman, baik dari kami ke pelanggan maupun sebaliknya,” katanya kepada Kompas.com baru-baru ini.KOMPAS.com/SUCI RAHAYU Menu makanan khas manado yang ditawarkan Warung Bagejo terletak di lantai dua Pasar Tunujngan Surabaya, Jawa Timur.Setiap sajian di Warung Bagejo adalah cerita pulang kampung. Ia menghadirkan hidangan khas Manado dengan sentuhan berbeda mulai dari pisang goreng sambal roa, tahu isi tuna dengan cocolan sambal yang khas, bubur Manado, hingga ayam bumbu RW.Ada pula nasi goreng pandan yang unik karena tidak menggunakan bawang putih, serta mie sambal roa yang jadi favorit.“Awalnya mau jual ayam rica-rica, tapi di Surabaya sudah banyak. Jadi saya pilih menu lain yang tetap bisa bawa cita rasa Manado,” ujar pria yang biasa disapa Faldi.Tidak ketinggalan deretan minuman yang punya nama unik sekaligus mengundang penasaran. Ada kopi susu asoy, kopi susu dugem yang jadi best seller, es gerimis disko (campuran susu, soda, lemon), hingga Chrisye, racikan kopi, soda, dan lemon yang segar sekaligus nostalgis.Baca juga: 10 Wisata di Surabaya yang Lagi Hits, Ada yang Bebas Tiket Masuk!Yang membuat Warung Bagejo berbeda adalah ruangnya yang multifungsi. Selain tempat makan, ada record store kecil berisi kaset pita, CD, dan piringan hitam yang sudah terkurasi.Faldi bahkan menambahkan ampli dan speaker jadul untuk memutar musik analog, sesekali ia sendiri turun tangan sebagai DJ dengan koleksi kaset lawasnya.Di sela-sela rutinitas warung, Bagejo juga kerap menggelar mini pameran seni. Seniman muda Surabaya bisa memajang karya mereka di sini, dari lukisan hingga pop art, dengan harapan membuka jaringan baru.“Daripada mereka ngevandal di tempat umum, bisa berpameran di sini. Siapa tahu dari sini mereka dapat koneksi,” imbuhnya.KOMPAS.com/SUCI RAHAYU Faldi Posumah pemilik Warung Bagejo yang menjual makanan khas Manado terletak di lantai dua Pasar Tunujngan Surabaya, Jawa Timur.Meski sering disebut “warung skena,” Bagejo tidak eksklusif untuk anak muda saja. Banyak keluarga datang dan ikut berbaur, bahkan ada yang rutin mampir tiap minggu. Turis asing pun mulai penasaran, terutama setelah mendengar soal “warung disko” yang jadi identitas baru tempat ini.",17/09/2025,FOOD
Sosok Erick Thohir yang Resmi Jadi Menpora Gantikan Dito Ariotedjo,"KOMPAS.com - Presiden Prabowo Subianto melantik Erick Thohir sebagai Menteri Pemuda dan Olahraga (Menpora) di Istana Negara, Jakarta Pusat, pada Rabu (17/9/2025). Pelantikan ini menggantikan Dito Ariotedjo yang dicopot pada Senin (8/9/2025), yang menyebabkan posisi Menpora kosong selama satu minggu. Pelantikan Erick Thohir dilakukan berdasarkan Keputusan Presiden (Keppres) Nomor 96P Tahun 2025 yang membahas pemberhentian dan pengangkatan Menteri dan Wakil Menteri Negara Tahun 2024-2029.Baca juga: Erick Thohir Dilantik Jadi Menpora oleh Presiden Prabowo SubiantoErick Thohir, kelahiran Jakarta, 30 Mei 1970, sebelumnya menjabat sebagai Menteri Badan Usaha Milik Negara (BUMN) sejak 2019. SebelumnyaErick dikenal sebagai pengusaha sukses dan aktif di dunia olahraga.Erick adalah Ketua Umum Persatuan Sepak Bola Seluruh Indonesia (PSSI) untuk periode 2023-2027. Ia juga pernah menjadi pemilik klub sepak bola Inter Milan dari 2013 hingga 2019, serta Presiden Inter Milan pada 2013-2016. Selain itu, Erick juga menjabat sebagai Presiden Asosiasi Bola Basket Asia Tenggara (SEABA) selama tiga periode (2006-2019) dan Ketua Umum Persatuan Bola Basket Seluruh Indonesia (Perbasi) pada 2006-2010.Erick turut berjasa sebagai Ketua Panitia Penyelenggara Asian Games 2018 (INASGOC) dan Ketua Komite Olimpiade Indonesia (KOI) periode 2015-2019. Dalam dunia bisnis, Erick adalah pendiri Mahaka Group, induk bisnis multimedia yang juga memiliki Komisaris Utama Mahaka Media dan Direktur Utama PT Intermedia Capital Tbk, yang mengelola ANTV.Baca juga: Erick Thohir Jadi Menpora, Begini Kiprah Panjangnya di Dunia Bisnis dan OlahragaBerdasarkan Laporan Harta Kekayaan Pejabat Negara (LHKPN) yang disampaikan ke Komisi Pemberantasan Korupsi (KPK), total kekayaan Erick Thohir per 31 Desember 2023 tercatat mencapai Rp 2,31 triliun. Rinciannya mencakup 34 bidang tanah dan bangunan senilai Rp 419,67 miliar, empat kendaraan senilai Rp 4,96 miliar, serta surat berharga senilai Rp 1,72 triliun.Selain itu, Erick memiliki kas dan setara kas sebesar Rp 192,35 miliar dan utang yang mencapai Rp 203,76 miliar.Baca juga: Erick Thohir Diisukan Jadi Menpora, Dito Aryotedjo Pamer Momen Bareng di Tengah Isu ReshuffleSebagian artikel ini telah tayang di Kompas.com dengan judul Profil Erick Thohir, Eks Menteri BUMN yang Dilantik Jadi Menpora dan Prabowo Lantik Erick Thohir Jadi Menpora.  ",17/09/2025,PROV
"Paniknya Novi Saat Rumah Ambruk, Selamatkan Anak Sementara Ayah Tertimpa Tembok","JAKARTA, KOMPAS.com – Ambruknya tembok rumah di Gang Portis, Jalan Rawajati Timur II, Pancoran, Jakarta Selatan, saat hujan deras pada Selasa (16/9/2025) malam, membuat panik pemilik rumah, Novi (41).Saat itu, Novi tengah mengulek cabai untuk menyiapkan makan malam keluarganya. Di dalam rumah, ayah Novi yang berusia 72 tahun sedang berbaring di kasur merah bersama anak bungsunya.“Emang anginnya kenceng banget kan. Saya lagi ngulek sambel di sini. Kaget banget, karena tahu-tahunya ini ambruk,” kata Novi, saat ditemui di lokasi, Rabu (17/9/2025).Baca juga: Hujan Deras dan Angin Kencang Robohkan 2 Rumah di Pancoran, 1 Orang TerlukaAwalnya, Novi mengira suara keras yang terdengar berasal dari langit. Namun, tak lama kemudian, tembok di samping kasur retak dan roboh.Spontan, Novi segera menarik anak bungsunya keluar rumah. Ia berteriak memanggil sang suami untuk membantu menyelamatkan ayahnya.“Pas saya lihat ambruk, saya langsung seret dulu yang kecil. Baru mau narik bapak saya, tapi keburu ketiban tembok,” ucapnya.Novi bersama suaminya berusaha mengangkat sang ayah yang memiliki keterbatasan pergerakan.“Posisinya tengkurap, masih sadar Bapak. Saya angkat kepalanya bareng-bareng sama suami,” tutur Novi.Setelah kejadian itu, keluarga Novi mengungsi ke rumah nenek yang berjarak dua rumah dari lokasi. Ayah Novi juga dirawat di sana lantaran menolak dibawa ke rumah sakit.“Bapak saya enggak mau dibawa ke rumah sakit, cuma saya poles-polesin minyak kayu putih sama betadine saja,” kata Novi.Baca juga: Jebolnya Tembok Kamar Nyai di Jaktim, Bikin Rumahnya Terendam Saat HujanNovi menuturkan, ia sudah mengajukan bantuan kepada Dinas Sosial melalui Lurah Rawajati. Kondisi ekonomi keluarga yang pas-pasan membuat mereka kesulitan memperbaiki rumah secara mandiri.“Ini lagi diurusin Pak RW ke kelurahan. Masalahnya kan kalau kami sendiri perbaiki, biayanya enggak ada. Suami cuma tukang parkir sama jadi hansip,” ujarnya.Sebelumnya diberitakan, dua rumah di Gang Portis, Rawajati Timur II, Pancoran, roboh akibat hujan deras disertai angin kencang pada Selasa (16/9/2025).“Dua rumah tinggal roboh karena hujan disertai angin kencang dan rumah sudah rapuh,” kata Kepala Pusat Data dan Informasi (Kapusdatin) BPBD DKI Jakarta, Mohammad Yohan, dalam keterangannya, Selasa.Peristiwa ini mengakibatkan satu orang mengalami luka-luka setelah tertimpa reruntuhan bangunan.",17/09/2025,NEWS
"Kades Sukomulyo Magelang Korupsi Anggaran Desa Rp 727 Juta, Begini Modusnya","MAGELANG, KOMPAS.com - Kejaksaan Negeri Kabupaten Magelang, Jawa Tengah, menetapkan Kepala Desa Sukomulyo, Ahmad Riyadi, sebagai tersangka kasus korupsi Anggaran Pendapatan dan Belanja Desa (APBDes) periode 2022–2023.Akibat perbuatannya, negara ditaksir merugi hingga Rp727 juta.Kepala Seksi Tindak Pidana Khusus Kejari Magelang, Robby Hermansyah, menjelaskan, tersangka langsung ditahan per Rabu (17/9/2025).“Dilakukan penahanan selama 20 hari di Lembaga Pemasyarakatan Kelas II A Magelang,” ujar Robby dalam keterangan tertulis.Baca juga: Kades di Magelang Sewa Kamar Kos 25 Km dari Rumahnya, Khusus untuk Pesta SabuDalam foto yang diterima Kompas.com, Ahmad Riyadi tampak mengenakan rompi tahanan berwarna jambon di luar pakaian batik Korpri.Robby menyebut, modus korupsi dilakukan dengan mengerjakan proyek pembangunan infrastruktur desa tidak sesuai mutu dan volume, seperti pengaspalan jalan dan pembuatan talut.Proyek juga dikerjakan tanpa melibatkan tim pelaksana kegiatan.Selain itu, anggaran pembangunan infrastruktur kantor desa justru dikorupsi sehingga kegiatan tersebut tak pernah direalisasikan.“Uang tersebut digunakan untuk kepentingan sehari-hari. Belum ada itikad baik untuk mengembalikan uang dari tersangka,” imbuh Robby.Baca juga: Kades yang Pernah Gugat Kewenangan Intelijen Kejaksaan ke MK, Jadi Tersangka Korupsi APBDesBerdasarkan hasil audit Inspektorat Kabupaten Magelang, kerugian negara mencapai Rp727.999.149.Untuk sementara, hanya Ahmad Riyadi yang ditetapkan sebagai tersangka dalam kasus ini. Ia dijerat Pasal 2 ayat (1) atau Pasal 3 jo Pasal 18 UU Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi sebagaimana diubah dengan UU Nomor 20 Tahun 2001.",17/09/2025,REGIONAL
"Suara Ojol yang Pilih Tak Ikut Demo Hari Ini: Capek Doang, tapi Gak Didengar","JAKARTA, KOMPAS.com – Tidak semua pengemudi ojek online (ojol) ikut dalam demonstrasi “Aksi 179” yang digelar Gabungan Aksi Roda Dua (Garda) Indonesia di depan Gedung DPR RI, Rabu (17/9/2025).Sebagian pengemudi memilih tetap bekerja, dengan alasan kebutuhan ekonomi keluarga lebih mendesak dibanding turun ke jalan menyuarakan tuntutan.Firman (28), salah satu pengemudi ojol yang mangkal di sekitar Gedung DPR, mengaku lebih memilih tetap on bid ketimbang ikut aksi.Menurutnya, unjuk rasa sering kali tidak didengar oleh para wakil rakyat.“Kalau saya yang penting ngidupin dapur rumah dulu. Capek, DPR enggak pernah dengerin (aspirasi) juga kalau ada demo,” kata Firman di depan Gedung DPR, Rabu.Baca juga: Titik Lokasi Demo Ojol di Jakarta Hari Ini 17 September 2025Firman menilai, perusahaan aplikator memang membutuhkan dana untuk operasional, termasuk membayar karyawan dan memelihara sistem.Ia pun rela menerima risiko potongan tinggi dari perusahaan aplikasi, asalkan tetap bisa mencari nafkah.“Kalau saya prinsipnya enggak mau terlalu egois juga. Kalau emang saya butuh kerjaannya, ya sudah jalanin aja,” ujarnya.Senada dengan Firman, Sofian (31), pengemudi ojol asal Kemanggisan, Jakarta Barat, juga memilih melanjutkan order meski berada di sekitar lokasi aksi. Ia menegaskan kebutuhan keluarga menjadi prioritas.Baca juga: Rekayasa Lalu Lintas dan Jalur Konvoi Demo Ojol Hari Ini di Jakarta“Ya namanya buat anak istri, sekarang kebutuhan lagi banyak, semuanya mahal. Jadi, hari ini narik dulu aja,” ujar Sofian sambil membawa paket di jok motornya.Meski tidak ikut aksi, Sofian tetap mendukung rekan-rekannya yang berdemo.Ia mengakui, penyampaian aspirasi memang dibutuhkan, terutama soal potongan aplikasi yang kian memberatkan pengemudi.“Misal saya abis nganter 30 ribu nih. Terus dapet paket jauh lah, biayanya 100 ribu. Nah potongannya ditotal hampir 30 ribu tuh. Kesannya orderan yang pertama kan kayak kerja enggak dibayar,” keluhnya.Baca juga: Pengemudi Ojol di Jaksel Anggap Tuntutan dalam Demo 17 September Terlalu BeratSementara itu, ribuan pengemudi ojol dari Garda Indonesia tetap menggelar demo di depan Gedung DPR.Mereka menuntut perbaikan sistem bagi hasil menjadi 90 persen untuk pengemudi dan 10 persen untuk aplikator.",17/09/2025,NEWS
"Kursi Menteri BUMN Kosong, Erick Thohir: Tunggu Keputusan Presiden","JAKARTA, KOMPAS.com - Erick Thohir menanggapi soal kekosongan kursi Menteri Badan Usaha Milik Negara (BUMN) setelah dirinya resmi berpindah tugas menjadi Menteri Pemuda dan Olahraga (Menpora). Ia menuturkan, posisi Menteri BUMN untuk sementara akan diisi pelaksana tugas (Plt). Namun, siapa yang akan ditunjuk sebagai Plt sepenuhnya merupakan kewenangan Presiden Prabowo Subianto.  ""Kalo BUMN sendiri sudah pasti kan nanti ada Plt-nya, nanti tunggu keputusan Presiden,"" ujarnya di Istana Negara seperti dikutip dalam tayangan Kompas TV, Rabu (17/9/2025).Baca juga: Posisi Menteri BUMN Kosong Usai Erick Thohir Jadi Menpora, Dilebur ke Danantara?KOMPAS.com/YOHANA ARTHA ULY Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir saat ditemui di Gedung DPR RI, Jakarta, Senin (15/9/2025).Terkait kemungkinan adanya rekomendasi calon akan mengisi posisi Menteri BUMN, Erick kembali menegaskan bahwa hal itu adalah hak prerogatif Presiden. ""Itu hak prerogatif Pak Presiden,"" tegasnya.  Sementara itu, saat ditanya apakah Kementerian BUMN bakal dilebur ke Badan Pengelola Investasi Daya Anagata Nusantara (BPI Danantara), Erick mengaku tidak tahu.  ""Wah saya enggak tahu, saya tidak tahu,"" ucap dia.Baca juga: Daftar 35 Harta Properti Erick Thohir, Menpora yang Baru Dilantik Pada kesempatan yang sama, Menteri Sekretaris Negara (Mensesneg) Prasetyo Hadi mengatakan, pengisian kursi Menteri BUMN definitif masih menunggu keputusan Presiden. Nantinya, kekosongan kepemimpinan sementara diisi oleh Plt Menteri BUMN.  Untuk posisi Plt Menteri BUMN sendiri, Prasetyo menyebut kemungkinan besar akan diisi oleh wakil menteri (wamen) BUMN.",17/09/2025,MONEY
"Sembilan Tahun Dipenjara akibat Narkoba, WN Malaysia Dideportasi dan Dicekal Permanen","MALANG, KOMPAS.com - Seorang narapidana kasus narkoba berkewarganegaraan Malaysia berinisial NA telah bebas murni dari Lembaga Pemasyarakatan (Lapas) Perempuan Kelas II A Malang setelah menjalani hukuman selama sembilan tahun.Meskipun telah menyelesaikan masa hukumannya, NA tidak dapat menikmati kebebasan di Indonesia. Ia langsung diserahkan kepada pihak imigrasi untuk proses deportasi ke negara asalnya.Kepala Lapas Perempuan Malang, Yunengsih, menjelaskan bahwa NA telah menyelesaikan seluruh masa pidananya.Awalnya, NA merupakan narapidana pindahan yang menjalani lima tahun di Lapas Perempuan Tangerang. Lalu, ia dipindahkan ke Malang untuk menyelesaikan sisa hukuman empat tahun.Baca juga: Imigrasi Ternate Deportasi 23 Korban Perdagangan Orang asal Vietnam""Yang bersangkutan ditangkap di Jakarta. Setelah menjalani total sembilan tahun masa pidana, hari ini ia resmi bebas dan langsung kami serah terimakan ke Kantor Imigrasi Kelas I TPI Malang untuk proses lebih lanjut,"" ujar Yunengsih pada Rabu (17/9/2025).Selama berada di Lapas Perempuan Malang, NA menunjukkan perilaku kooperatif dan aktif berpartisipasi dalam berbagai program pembinaan kepribadian serta pelatihan kerja.Pihak lapas menilai NA telah memiliki keterampilan dan mental yang cukup untuk kembali ke tengah masyarakat.Setelah diserahkan, NA kini berada di bawah pengawasan Kantor Imigrasi Kelas I TPI Malang.Kepala Seksi Teknologi dan Informasi Keimigrasian, Endra, menjelaskan bahwa sebagai warga negara asing (WNA) yang telah menjalani pidana di Indonesia, proses deportasi adalah langkah yang wajib dilakukan.""Statusnya sebagai WNA membuat deportasi menjadi prosedur wajib. Kami menempatkannya di ruang detensi imigrasi sembari menunggu seluruh proses administrasi pemulangannya tuntas,"" ungkap Endra.Proses deportasi terkendala paspor NA yang telah habis masa berlakunya.Namun, pihak imigrasi telah berkoordinasi dengan Kedutaan Besar Malaysia di Indonesia untuk menerbitkan Surat Perjalanan Laksana Paspor (SPLP), yang berfungsi sebagai dokumen perjalanan darurat untuk memungkinkan seorang warga negara kembali ke negaranya.Baca juga: Imigrasi Kediri Deportasi WN Slovakia karena Memberikan Keterangan Palsu""Kami hanya tinggal menunggu penerbitan SPLP dari kedutaan dalam minggu ini. Setelah dokumen itu kami terima, proses deportasi akan segera dilaksanakan,"" tambahnya.Lebih lanjut, Endra menyatakan bahwa pihaknya juga sedang memproses pengajuan penangkalan atau pencekalan permanen terhadap NA.Langkah ini diambil untuk memastikan NA tidak dapat kembali memasuki wilayah Indonesia pada masa mendatang.""Pengajuan penangkalan ini kami teruskan ke kementerian pusat (Kementerian Hukum dan HAM). Ini adalah bagian dari penegakan kedaulatan hukum negara,"" tutupnya.",17/09/2025,REGIONAL
