penulis,judul,abstrak_indo,abstrak_english,pembimbing_pertama,pembimbing_kedua,prodi
Daniyar Bagus Prasetya,ONTOLOGY SEMANTIC WEB UNTUK PENCARIAN TUGAS AKHIR PADA SISTEM INFORMASI TUGAS AKHIR(SIMTAK),"Kebutuhan pencarian data pada internet yang cepat dan tepat saat ini menjadi faktor penting para pengguna layanan internet. Sistem Informasi Tugas Akhir (SIMTAK) yang digunakan di Fakultas Teknik Universitas Trunojoyo Madura juga membutuhkan pencarian data yang tepat dan cepat berdasarkan konteks. Sistem pencarian yang dipakai saat ini adalah pencarian database dimana masih belum mampu memberikan hasil pencarian yang sesuai dengan konteks atau keywords yang diinputkan. Untuk memiliki kebenaran dalam sistem kecerdasan, pengetahuan perlu ditangkap, diproses, digunakan kembali, dan disampaikan. Ontologi mendukung semua tugas ini. Ontologi adalah spesifikasi dari konseptualisasi. Semantik web adalah sebuah abstrak representasi pada World Wide Web (WWW) yang berbasiskan pada sebuah standar yang didefinisikan menggunakan Resource Description Framework (RDF) dan Ontology Web Language (OWL) ide dasarnya adalah untuk membawa web memiliki definisi dan link data sehingga dapat digunakan lebih efektif untuk mencari, otomasi, integrasi dan reuse informasi pada berbagai aplikasi. Semantik web didefinisikan sebagai sekumpulan teknologi, dimana memungkinkan komputer memahami arti dari sebuah informasi berdasarkan metadata, yaitu informasi mengenai isi informasi seperti judul, pengarang, modifikasi tanggal pada halaman web, dan hak cipta pada halaman web. Dengan menggunakan semantik web, pencarian tugas akhir ini mampu memberikan hasil berdasarkan persamaan makna kata pada keyword yang diinputkan oleh user.
Kata Kunci : Mesin pencari, Semantic web, Tugas akhir.
ABSTRACT","In this time, The need for data search on the internet for quickly and accurately being important factor of internet service users. Sistem Informasi Tugas Akhir(SIMTAK) was used by Engineering faculty Trunojoyo University from Madura, need to find data most quickly and accurate too based on context. Search engine was used is database search where couldn’t able to give search result for context or keywords from users input. To have a true in intelligence system, the knowledge need to catched, processed, used and learned. Ontology was support to all these jobs. Ontology is specification of conceptualitation, Semantic web is a representation of abstract for world wide web(www) for based standart where define using Resource Description Framework(RDF) and Ontology Web Language(OWL). The based idea is to bringing web have definition and data link so gets to used more efectif to find, otomation, integrate, and reuse information for a kind application. Semantic web is define to set of technology, where possible to computer understanding the meaning of information by metadata, that’s information about contents in information like a tittle, author, modifie of date on web page, and copiryght for web page. By using semantic web, the search of this final project can gived a result based for equation of the word meaning for input keyword by users.
Keywords: Search engine, Semantic web, Final project.","Firdaus Solihin S.kom,.M.kom","Kurniawan Eka P. S.kom,.M.sc",Teknik Informatika
BAHRUL ULUM,RANCANG BANGUN APLIKASI INTRUSION PREVENTION SYSTEM PADA JARINGAN BERBASIS PROTOKOL TCP/IP MENGGUNAKAN SNORT DAN IPTABLES,"Dalam setiap perusahaan tentunya memiliki data penting berkaitan dengan kegiatan bisnis mereka yang perlu dijaga dan diamankan dari orang yang tidak berhak mengaksesnya. Seringkali  muncul aksi ilegal yang mencoba merusak server bahkan sampai mencuri data perusahaan bisa mengakibatkan kesalahan fatal terhadap kelancaran kegiatan bisnis perusahaan disebabkan data yang tidak valid lagi. Menyikapi masalah tersebut, maka diperlukannya sistem monitoring keamanan yang mampu mengamankan server dari tindakan penyusupan. Intrusion Prevention System (IPS) merupakan solusi yang mampu memberikan keamanan pada jaringan server dari tindakan penyusupan. IPS ini mengembangkan Snort sebagai fungsi pendeteksi yang dikombinasikan dengan IPTables Firewall sebagai pencegah adanya penyusupan. IPS ini juga dilengkapi dengan user interface BASE (Basic Analysis and Security Engine)  dan manajemen rule sehingga memudahkan admin untuk memonitor sistem keamanan dari tindakan penyusupan ke jaringan server. Snort akan membuat alert ketika terdeteksi adanya serangan yang disimpan dalam log Snort dan memerintahkan IPTables untuk melakukan drop terhadap alamat penyerang. Kemudian detail serangan bisa dilihat pada tampilan user interface BASE. Dari hasil pengujian, didapatkan bahwa Snort dan IPTables telah bekerja dengan baik menjadi IPS yang mampu memberikan respon secara cepat ketika terdeteksi adanya serangan. Waktu tanggap rata-rata kurang dari 5 detik, dari awal serangan sampai terdeteksinya alert.","Every company has important data that relates with their business activities, it is need to be guarded and secured of people who are no right to access it. It often appears illegal action that tries to damage the server even to steal corporate data which make dangerous mistakes for the smooth operation of the company’s business because the data is not valid. Because of that, indispensable security monitoring system is created to secure the server from intrusion actions. Intrusion Prevention System (IPS) is a solution that give provide security at the network server of the act penetration. This IPS developing Snort as a function of detection, that combined with IPTables Firewall as the prevention of intrusion. IPS is also equipped with a user interface BASE (Basic Analysis and Security Engine) and rule of management that mak it easier for admin to monitor the security system of intruder action to the network server. Snort will make alert when an attack is detected is stored in the log Snort and command iptables to do drop the attacker address. Then the details of attacks can be seen in the user interface display BASE. From the test results, it was found that Snort and IPTables has worked well to IPS that can respond quickly when attacks are detected. The average response time of less than 5 seconds, from the beginning of the attack until the detection alerts.","Meidya Koeshardianto, S.Si., M.T","Eza Rahmanita, S.T., M.T",Teknik Informatika
Sri Rahma Puspa Sari,APLIKASI CITRA MOSAIK PANORAMIK MENGGUNAKAN METODE WATERSHED,"Citra digital banyak dimanfaatkan dalam berbagai aspek kehidupan,oleh karena itu membutuhkan tampilan citra yang yang dapat merepresentasikan objek yang terdapat dalam citra tersebut. Salah satu permasalahan yang ada saat melakukan pengambilan gambar (citra) adalah kemampuan untuk mengambil gambar yang sangat luas sehingga gambar harus diambil beberapa kali yang menyebabkan gambar atau objeknya menjadi terpisah-pisah. Untuk mengatasi permasalahan ini diperlukan proses penggabungan citra. Dan dalam penelitian ini akan digunakan metode Watershed. Dalam metode ini terlebih dahulu ditentukan titik korespondensi pada masing-masing citra kandidat, kemudian daerah hasil korespondensi tersebut akan disegmen menggunkan metode Watershed dan hasil segmentasinya digunakan untuk mencari Region cut sebagai acuan penggabungan citra. Proses penggabungan citra ini dsebut dengan mosaic panoramik. Hasil dari penelitian ini menunjukkan citra panorama yang ideal dapat dperoleh dengan menggunakan citra masukan yang mempunyai kesamaan obyek dan titik korespondensi dipilih pada obyek yang sama diantara dua citra masukan tersebut.

Kata kunci :Citra Panorama, MosaikPanoramik, Metode watershed
","The digital image used extensively in various aspects of life, therefore requiring the display image to represent objects contained in the image. One of the problems that exist when performing image capture (image) is the ability to take a very wide image so that the image must be taken several times which caused the image or object to be separated. To overcome this problem required the incorporation of image. And in this study will be used method Watershed. In this method, first set point correspondences in each image of the candidate, then the region will be segmented results of correspondence Watershed use the methods and results of the segmentation is used to locate Region merging cut as a reference image. The process of merging this image dsebut with panoramic mosaic. The results of this study indicate that ideal panoramic image can dperoleh using the input image and the object has the same point on the object selected correspondence between two images of the same inputs.

KEYWORDS: IMAGE PANORAMA, PANORAMIC MOSAICS, WATERSHED METHOD
","Eza Rahmanita, S.T.,M.T.","Meidya Koeshardianto, S.Si.,M.T.",Teknik Informatika
Hilmi Fairuz Abadi,ANALISA VALIDITAS PENERIMA BEASISWA MENGGUNAKAN METODE ANALYTIC NETWORK PROCESS DAN TOPSIS,"Beasiswa adalah pemberian berupa bantuan keuangan yang diberikan kepada perorangan yang bertujuan untuk digunakan demi keberlangsungan pendidikan yang ditempuh. Program beasiswa diadakan untuk meringankan beban mahasiswa dalam menempuh masa studi kuliah khususnya dalam masalah biaya. Fakultas Teknik Universitas Trunojoyo memiliki program beasiswa yang harus diberikan kepada yang berhak menerima. Diantaranya Beasiswa Bantuan Belajar Mahasiswa (BBM), Beasiwa Peningkatan Prestasi Akademik (PPA) dan setiap jenis beasiswa memiliki kriteria atau faktor bobot yang berbeda. Tetapi dalam melakukan seleksi beasiswa tentu akan mengalami kesulitan karena banyaknya pemohon, banyaknya kriteria dan masih menggunakan cara manual yang mengakibatkan kurang efektifnya keputusan. Untuk membantu dalam menetapkan seseorang yang layak menerima beasiswa maka dibutuhkan sistem pendukung keputusan. Metode yang digunakan dalam penelitian ini adalah Analytic Network Process (ANP) dan Technique Order Preference by Similarity To Ideal Solution (TOPSIS). Pada penelitian ini akan diangkat suatu kasus yaitu menganalisa validitas alternatif terbaik penerima beasiswa berdasarkan kriteria-kriteria yang telah ditentukan dengan menggunakan metode ANP kemudian dicari solusi pengurutan dengan menggunakan metode TOPSIS. Berdasarkan hasil uji coba sistem, terdapat perbedaan selisih hasil rekomendasi dari sistem terhadap data aktual pemenang beasiswa PPA jurusan informatika, yaitu 78,57%. Sedangkan selisih hasil rekomendasi dari sistem terhadap data aktual pemenang beasiswa BBM jurusan informatika, yaitu 80,95%.

Kata kunci: ANP, TOPSIS, MCDM, pengambilan keputusan multi kriteria, seleksi beasiswa.
","Scholarship is a gift in the form of financial assistance given to individuals who intended to be used for the continuation of education pursued. The scholarship program was held to ease the burden of students in taking college study period especially in the matter of cost. Faculty of Engineering, University of Trunojoyo has a scholarship program that should be given to those entitled to receive. Among Scholarship Student Aid Study (BBM), scholarships Academic Achievement (PPA) and any kind of scholarship criteria or factors have different weights. But in the selection of the scholarship would be difficult because of the many applicants, the number of criteria and still use the manual method which resulted in the lack of effective decision. To assist in determining a person eligible to receive the scholarship required of decision support systems. The method used in this study is Analytic Network Process (ANP), and Technique Order Preference by Similarity To Ideal Solution (TOPSIS). In this research, will be appointed to analyze the validity of a case that is the best alternative based scholarship criteria that have been determined using the ANP then sorting solution sought by using TOPSIS method. Based on the results of testing the system, there are differences in the results on the difference of the system against the actual data informatics majors winners PPA 78.57%. While the difference in the recommendation of the system against the actual data informatics majors winners fuel, which is 80.95%.

Keywords: ANP, TOPSIS, MCDM, multi-criteria decision making, selection of scholarship.
","Bain Khusnul K., S.T., M.Kom.","Firli Irhamni, S.T., M.Kom.",Teknik Informatika
Ana Qaimah L.M.D.R,"SISTEM PERAMALAN PENJUALAN JANGKA PENDEK SPARE PART SEPEDA MOTOR MENGGUNAKAN NEURAL NETWORK
(Studi Kasus : Suzuki Kemayoran Bangkalan)","Spare part merupakan salah satu bagian penting dalam pengoperasian mesin pada sepeda motor. Peningkatan jumlah penjualan spare part yang tidak terduga saat proses tune-up menyebabkan kesulitan dalam pelayanan yang terbaik kepada konsumen. Demikian juga sebaliknya, apabila terjadi penurunan jumlah penjualan spare part, maka akan menyebabkan penumpukan spare part di gudang. Oleh karena itu diperlukan sistem peramalan yang mampu meramalkan penjualan spare part pada periode berikutnya. Sistem peramalan ini menggunakan metode Jaringan Syaraf Tiruan algoritma Propagasi Balik dengan momentum untuk meramalkan jumlah penjualan spare part  pada bulan berikutnya. Data yang telah tersimpan dihitung menggunakan epoh dan learning rate yang berbeda. Dari hasil uji coba system, maka dapat disimpulkan bahwa  dengan menggunakan semua data sebagai data training dan menggunakan learning rate 3.5 dan dengan epoh 200 akan menghasilkan tingkat kesalahan 0.0622716.","Spare part is one of the vital component in machine operational for the motor cycle. Progress of selling spare part is unfathomable at tune-up process cause difficulty in best service for the consumer. Such is contrary, if marketing have the decrease product then make pile up momentum method’s. With use Neural Network algoritma backpropagation with momentum for prediction spare part total marketing to the next month. Data history from the last month the product in warehouse. So that, want  forecasting system that capable to forecasting selling products in the next periodic. This forecasting system using Neural Network Backpropagation with momentum algorithm method to predict the amount of sales of spare parts in the next month. Data that has been saved is calculated using the epoch and the different learning rate. From the test system, it can be concluded that by using all the data as training data and using learning rate 3.5 and the epoch 200 will result in an error rate of 0.0622716.","Mula’ab, S.Si, M.Kom","Fika Hastarita R.,ST, M.Eng",Teknik Informatika
ilham wibisono aziz,"PENGEMBANGAN MESIN PENCARIAN ANTIPLAGIASI PADA 
SIM JURNAL MAHASISWA MENGGUNAKAN ALGORITMA 
WINNOWING FUZZY K-MEANS","ABSTRAK
Penjiplakan merupakan masalah yang sering muncul dan semakin berkembang terutama dalam bidang pendidikan. Banyak karya tulis yang sebagian bahkan seluruh isinya dibuat dengan menjiplak dari karya tulis orang lain. Untuk mengatasi masalah tersebut, salah satunya solusinya adalah dengan dibuatnya aplikasi yang dapat mengelompokan dokumen dan mendeteksi penjiplakan pada dokumen tersebut. Pada tugas akhir ini dibuat aplikasi yang dapat mendeteksi penjiplakan antar dokumen yaitu dengan membandingkan antar dokumen. Dalam melakukan pendeteksian penjiplakan dokumen digunakan algoritma Winnowing. Algoritma winnowing ini berfungsi untuk melakukan proses dokumen fingerprint, yaitu dengan merubah teks menjadi sekumpulan nilai - nilai hash. Nilai hash ini yang akan digunakan untuk mendeteksi tingkat kesamaan antar dokumen. Dalam hal pengelompokan dokumen dipergunakan algoritma fuzzy k-means. Dari hasil uji coba aplikasi ini dapat diambil kesimpulan bahwa semakin besar nilai n-gram, basis, dan window maka semakin kecil hasil prosentase kemiripan antar dokumen yaitu dengan menghasilkan sebesar 4.17%, dan sebaliknya semakin kecil nilai n-gram, basis, dan window maka semakin besar  prosentase kemiripan antar dokumen yaitu dengan menghasilkan prosentase 98.49%. Pada perhitungan nilai f-measure dipengaruhi oleh keakuratan data yang diproses.
Kata Kunci : deteksi penjiplakan, cluster, f-measure","ABSTRACT
Plagiarism is a problem that often arises and growing, especially in the field of education. Many papers that some even made by copying the entire contents of the writings of others. To overcome these problems, one solution is to made applications that can classify documents and detecting plagiarism in such documents. In this final project is the application that detects plagiarism by comparing between documents between documents. In conducting the document plagiarism detection algorithms used Winnowing. Winnowing algorithm serves to make the process of document fingerprint, ie by changing the text to a set of values - the value of hash. This hash value that will be used to detect the degree of similarity between the documents. In the case of document clustering algorithm used fuzzy k-means. From the test results of these applications can be concluded that the greater the value of n-grams, the base, and then the window gets smaller percentage yield similarity between documents is the result of 4:17%, and conversely the smaller the value of n-grams, the base, and the window then the greater the percentage of similarity between documents is to produce a percentage of 98.49%. In the calculation of the value of f-measure is affected by the accuracy of the data being processed.
Keywords: plagiarism detection, cluster, f-measure","Hermawan S.T.,M.Kom","Andharini Dwi Cahyani S.Kom.,M.Kom",Teknik Informatika
Catur Ngesti Waluyo,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN KARYAWAN BERPRESTASI DENGAN INTEGRASI FAHP dan ELECTRE II,Sumber daya manusia mutlak dibutuhkan untuk kemajuan suatu perusahaan guna menjadikan perusahaan itu menjadi perusahaan yang maju dan tidak kalah bersaing dengan perusahaan lainnya. Dalam hal ini maka dibuatlah Sistem Pendukung keputusan (SPK) pemilihan karyawan berprestasi untuk mencari karyawan berprestasi. Sistem Pendukung keputusan (SPK) ini menggunakan FAHP dan ELECTRE II. Metode FAHP merupakan metode yang cukup obyektif untuk proses penilaian berdasarkan hirarki kriteria yang digabungkan dengan konsep fuzzy sesuai kriteria penilaian kinerja karyawan perusahaan. Setelah mendapat bobot dilakukan proses selanjutnya dengan menggunakan metode ELECTRE II hingga mendapat karyawan berprestasi. Untuk menjaga bahwa penilaian ini tidak berpihak kepada salah satu karyawan dan bebas intervensi dari karyawan maka perusahaan menggunakan pihak luar yang independen dan profesional untuk melakukan penilaian terhadap karyawan. Hasil penilaian dari pihak luar yang berupa angka-angka kemudian oleh departemen sdm dilakukan penjumlahan nilai komulatif kriteria untuk mendapat karyawan terbaik tanpa ada prioritas kriteria yang lebih penting. Dengan menggunakan metode FAHP dan ELECTREII hasil keluaran mendekati keakuratan dengan hasil yang diperoleh dari areal manager di banding dengan hitung manual perusahaan tanpa memperhatikan bobot kepentingan.,Human resources is absolutely necessary for the progress of a company to make the company into a forward and not compete with other companies. In this case there was made a decision support system (DSS) selection of high performing employees to seek high performing employees. Decision support system (DSS) using FAHP and ELECTRE II. FAHP method is a fairly objective method for the assessment process based on a hierarchy of criteria combined with fuzzy concepts according to criteria of performance appraisal firm. After obtaining the weights do further processing using ELECTRE II method to get a high performing employees. To maintain that this judgment does not favor one employee and non-intervention of the employees of the companies use independent outsiders and professionals to undertake an assessment of the employee. The results of external assessment in the form of numbers and then by hrd performed cumulative sum of the criteria to get the best employees no more important priority criteria. Using FAHP and ELECTRE II methods output close to the accuracy of the results obtained from the area manager on appeal to manually count the interests of the company regardless of the weight.,"Mula'ab,S.Si.,M.Kom","Riza Alfita, S.T., M.T",Teknik Informatika
Hamiyah,PENGELOMPOKAN KUALITAS KELAS PADA SISWA MENGGUNAKAN INDEKS DAVIES-BOULDIN SOM (SELF ORGANIZING MAP),"ABSTRAK
Data yang terdapat pada SMA Wachid Hasyim 2 Taman-Sepanjang merupakan data siswa yang masih mentah sehingga data tersebut perlu diolah. Pengolahan data dengan mengelompokan (Clustering) data-data tersebut memiliki beragam metode salah satunya adalah SOM (Self Organizing Map). Untuk menvalidasi data setelah Penggunaan distance matrix digunakan IDB (Indeks Davies-Bouldin). IDB dalam SOM bertujuan untuk meningkatkan akurasi validasi hasil analisa data. Pada akhirnya penganalisaan data dengan studi kasus SMA Wachid Hasyim 2 Taman-Sepanjang ini bertujuan untuk mengetahui tingkat kemiripan siswa dalam satu kelompok (per kelas). Metode SOM mampu mengelompokan data yang berdekatan untuk dicari kemiripannya berdasarkan pola. Kemiripan data pada pengelompokan siswa yang dijadikan tiga cluster dengan learning rate 0.6 serta epoch 10, 20, 30  dengan MSE terkecil = 41.42 di epoch 30 pada 245 data training. Sedangkan yang dijadikan tiga sampai dengan sembilan Cluster dengan learning rate 0.6 serta epoch 10, 20, 30 dengan MSE terkecil = 25.04 di epoch 20 pada cluster  ke-4 dengan  245 data training. Nilai terkecil pada pemvalidasian Cluster dengan IDB menggunakan tiga sampai dengan sembilan Cluster pada 245 data training berada pada  cluster ke-9 dengan nilai IDB = 37.44  dan hasilnya  kurang akurat karena kelas yang terbentuk hanya dua kelompok.


Kata kunci:  Clustering, SOM, Eucledian Distance, IDB, SMA Wachid Hasyim 2 Taman-Sepanjang
","ABSTRACT
The data is contained in  SMA Wachid Hasyim 2 Taman-Sepanjang is still raw student data so that data needs to be processed. Processing data by grouping (clustering) the datas have variety of method the one of  them is SOM (Self Organizing Map). To validate data after usin  distance matrix it is used IDB (Davies-Bouldin index). IDB in  SOM aims to increase validation accuracy of  the data analys result.  At the end data analyse with studies case SMA Wachid Hasyim 2 Taman-Sepanjang  aims to know  the degree ofstudent  similarity in a group (every class). SOM method can be classify the closing data to reseacrh the similarity  based on the  pattern. Data  similarity in grouping students on tree  clusters with learning rate 0.6 and epoch 10, 20, 30 with  smallest MSE = 41.42 in epoch 30 at 245 training data. While it is made tree until nine cluster with learning rate 0.6 and epoch 10, 20, 30 with smallest MSE = 25.04 in epoch 20 at cluster 4 with 245 training data. The smallest score at cluster validation with  IDB  use  tree until nine cluster at  245 training data are in the  9 cluster  with IDB score = 37.44 and the results less accurate because of the class only 2 groups.

Keywords: Clustering, SOM, Eucledian Distance, IDB, SMA Wachid Hasyim 2 Taman-Sepanjang
 
","Bain Khusnul K,ST.,M.Kom","Firli Irhamni, ST, M. Kom",Teknik Informatika
Gendra Budiarti,APLIKASI CITRA MOSAIC PANORAMIC MENGGUNAKAN METODE SIFT (SCALE INVARIANT FEATURE TRANSFORM),"Sebuah citra banyak diterapkan dalam berbagai aspek kehidupan, misalnya dalam bidang kedokteran untuk mengetahui bagian dalam tubuh manusia atau mendeteksi penyakit, dalam bidang geologi untuk memetakan suatu wilayah tertentu, dan lain sebagainya. Oleh karena itu dibutuhkan suatu tampilan citra yang dapat merepresentasikan suatu obyek. Namun batasan luas citra sering menjadi kendala dalam penerapan fungsi maupun manfaat citra itu sendiri. Untuk itu diperlukan aplikasi penggabungan citra atau mosaic panoramic yang dapat memperluas tampilan citra, sehingga dapat lebih bermanfaat untuk memberikan informasi suatu obyek tertentu. Pada penelitian ini menggunakan metode Scale Invariant Feature Transform (SIFT) untuk pendeteksian keypoint. Jumlah keypoint dapat berubah berdasarkan nilai threshold yang ditentukan. Dari 20 pasang citra yang diteliti, nilai threshold 0.1 pada 12 citra masukan jumlah keypoint yang berkesesuaian bernilai 0, sehingga tidak dapat dilakukan proses mosaic panoramic. Pada nilai threshold 0.6 jumlah keypoint yang berkesesuaian bernilai sedang dan dapat menghasilkan citra hasil mosaic panoramic. Sedangkan pada nilai threshold 0.9 jumlah keypoint yang berkesesuaian pada 14 pasang citra masukan atau 70% dari jumlah citra masukan semakin banyak ditemukan, sehingga  dapat dilakukan proses mosaic panoramic dan menghasilkan citra hasil mosaic panoramic yang lebih baik.

Kata Kunci:  Mosaic Panoramic, SIFT (Scale Invariant Feature Transform), Keypoint
","An image widely applied in many aspects of life, such as in the medical field to know the inside of the human body or detect the disease, in the field of geology to map a particular region. Therefore we need a preview image that can represent an object. But the broad limits image is often an obstacle in the implementation of the functions and benefits of the image itself. It required the merging application image or panoramic mosaics can expand the display image, so it can be more useful to provide information on a particular object. In this study, using the method of Scale Invariant Feature Transform (SIFT) for keypoint detection. Keypoint amount may change based on the specified threshold value. Of the 20 pairs of images were studied, the threshold value of 0.1 on 12 pairs of input image that corresponds keypoint number will be 0,  so it can not be done the mosaic panoramic. At the threshold value of 0.6 which corresponds keypoint number and value being able to produce a  image mosaic panoramic.  At the threshold value of 0.9 keypoint number that corresponds on 14 pairs of images or 70% from amount input images  more and more are found, it can be processed to produce a mosaic panoramic and the better  image.  

Keywords: Mosaic Panoramic, SIFT (Scale Invariant Feature Transform), Keypoint 
","Eza Rahmanita, ST, MT","Meidya Koeshardianto, S.Si, MT",Teknik Informatika
Daril Ulumiyah,PENGENALAN TELAPAK TANGAN MENGGUNAKAN METODE NAÏVE BAYES BERBASIS REDUKSI DIMENSI  PRINCIPAL COMPONENT ANALYSIS (PCA),"Teknologi biometrik saat ini mengalami perkembangan sangat pesat dan sudah lazim diterapkan pada berbagai bidang aplikasi. Proses pengenalan telapak tangan telah diteliti selama lebih dari 10 tahun.  Telapak tangan merupakan biometrika yang masih relatif baru. Telapak tangan memiliki beberapa karakteristik yang unik berupa garis telapak tangan dan bersifat stabil. Setiap orang mempunyai garis telapak tangan yang berbeda meskipun orang itu kembar. Keunikan dan kestabilan dari garis telapak tangan pada telapak tangan merupakan fitur handal setiap telapak tangan untuk digunakan pada sistem pengenalan. Dalam penelitian ini, proses pengenalan telapak tangan menggunakan metode Naive Bayes sebagai proses classifier dan  reduksi dimensinya menggunakan Principal Component Analysis (PCA). Sistem diuji coba menggunakan 100 citra telapak tangan dari 10 orang, setiap orang terdiri dari 10 sampel telapak tangan. Hasil pengujian rata-rata memperoleh persentase keberhasilan sebesar 51,45%.","Biometric technology is currently experiencing very rapid growth and is commonly applied to various fields of application. The process of palm recognition has been studied for more than 10 years. Palm of the hand is the relatively new biometrics. Palms have several unique characteristics such as palm lines and are stable. Everyone has a different line of palms that although the twins. The uniqueness and stability of the lines on the palm of the hand palm is featured each palm reliable for use in the recognition system. In this study, the introduction of the palm of the hand using a Naive Bayes classifier and the dimension reduction using Principal Component Analysis (PCA). System is tested using 100 images of 10 people palms, each consisting of 10 samples the palms. The test results obtained average percentage success rate of 51.45%.","Mulaab, S.Si., M.Kom.","Rima Tri Wahyuningrum, ST.,MT.",Teknik Informatika
Rizky Maulidya,Implementasi Sistem Pakar Pada Pengambilan Keputusan Penentuan Tindakan Medis di Poli Mata Berbasis Web,"Diagnosa penyakit mata dengan sistem informasi yang baik merupakan inti permasalahan pada penelitian ini. Diketahui pada studi kasus ini, dokter sebagai seorang pakar memiliki keterbatasan waktu dalam melayani pasien selama 24 jam, bahkan pada hari-hari selanjutnya. Dokter hanya bekerja tiga hari dalam satu minggu, dan 6 jam pada tiap kali melakukan pelayanan. Adanya asisten dokter juga belum dapat membantu pelayanan ini bekerja denga maksimal. Hal ini lah yang menjadi kurang maksimalnya peranan dokter bagi pasien. Terbatasnya keberadaaan dokter sebagai pakar dan minimnya waktu pelayanan dari dokter pada pasien nya serta minimnya pengetahuan seseorang terhadap gejala atas sakit yang dirasakan, sangat mendukung terdapatnya sistem yang mampu memberikan diagnosa dan solusi mengenai gejala yang diketahui. Berdasarkan hal tersebut, penelitian ini bertujuan untuk membuat aplikasi sistem pakar  berbasis web, yang  dapat mendiagnosa gejala penyakit pada mata. Metode yang digunakan dalam pengembangan aplikasi adalah Fuzzy Mamdani dengan Inferensi Forward Chainning. Input yang dibutuhkan pada sistem ini adalah data jenis gejala dan gejala umum yang diketahui, sedangkan output adalah nilai tingkat keparahan penyakit yang nantinya mengarah pada solusi dari tiap kasus. Dari hasil uji coba sistem yang dilakukan oleh dokter diperoleh nilai keakuratan sebesar 80% dari 10 kasus yang dilakukan. 

Kata kunci : Metode Fuzzy Mamdani, forward chaining , diagnosa penyakit mata.
","Diagnosis of diseases of the eye with good information system is a core problem in this study. Known in this case study, as an expert doctor has limited time in serving patients for 24 hours, even on days later. Doctors only work three days a week, and 6 hours on each time the service. There is also a physician assistant can not help this ministry work premises maximum. This is what a doctor is less maximum role for patients. The limited existence as an expert physician and a lack of doctors in the service of his patients and the lack of knowledge of one of the symptoms of the pain that is felt, strongly supports the presence of a system that is able to provide diagnosis and solutions regarding the known symptoms. Accordingly, this research aims to create a web-based expert system application, which can diagnose the symptoms of diseases of the eye. The method used in application development is a Mamdani Fuzzy Inference Forward Chainning. Input needed on this system is the data type of symptoms and general symptoms are known, while the output is the value of the severity of the disease that will lead to the solution of each case. Tests showed that the system performed by doctors accuracy values obtained for 80% of the 10 cases were performed.


Keywords: Fuzzy Mamdani method, forward chaining, diagnosis of eye diseases


","Fika Hastarita Rachman S.T., M.Eng","Firli Irhamni S.T., M.Kom",Teknik Informatika
Susanto,RANCANG BANGUN MANAJEMEN PEMBELAJARAN DAN TES TOEFL BERBASIS MOBILE,"Penggunaan teknologi mobile saat ini sangat marak, disamping keunggulannya dapat mudah bawa dibawa kemana-mana, teknologi mobile sekarang sangat mudah untuk dieksplorasi, terbukti dengan adanya smartphone yang mempunyai banyak layanan yang dapat bermanfaat bagi para penggunanya. Toefl (Test Of English As A Foreign Languange) sangat dibutuhkan dalam menghadapi kemajuan teknologi saat ini, Kurang besarnya minat masyarakat dalam belajar bahasa inggris dan mengikuti tes-tes Toefl yang ada, berpengaruh pada kemajuan teknologi.  Android  merupakan  subset  perangkat  lunak  untuk perangkat  mobile  yang  meliputi  sistem  operasi, middleware,  dan  aplikasi  inti  yang  di  release  oleh Google. Android SDK adalah  tools  API (Application Programming Interface)  yang digunakan untuk memulai membuat aplikasi pada platform Android dengan menggunakan bahasa pemrograman Java. Eclipse adalah sebuah IDE (Integrated Development Environment) yang digunakan dalam  coding  aplikasi Android nantinya. Salah satu pemanfaatan teknologi mobile yaitu dengan membuat media pembelajaran dan tes TOEFL baik soal berupa teks dan audio dengan menggunakan  teknologi Android, tentunya berbasis mobile. Dengan tes TOEFL, pembelajaran test dan kelebihan listening menu di dalam aplikasi ini, diharapkan akan dapat membatu meningkatkan pemahaman pengguna mengenai tes TOEFL.

Kata Kunci: tes TOEFL, ANDROID, Java , Mobile, SDK
","The use of mobile technology is now very widespread, despite its superiority can easily carry to carry everywhere, mobile technology is now very easy to be explored, as evidenced by a smartphone that has many services that can benefit its users. Toefl (Test Of English As A Foreign Language) is needed in the face of current technological advances, less the amount of public interest in learning English and follow the Toefl tests available, effect on the advancement of technology. Android is a software stack for mobile devices that includes an operating system, middleware, and applications at the core of the release by Google. Android SDK is a tool API (Application Programming Interface) used to start creating applications on the Android platform using the Java programming language. Eclipse is an IDE (Integrated Development Environment) used in coding Android apps later. One is to use mobile technology to make media and learning both about the TOEFL test in the form of text and audio using Android technology, mobile-based course. With the TOEFL test, the advantages of learning and listening test menu in the application, expected to be petrified enhance the user's understanding of the TOEFL test.

Keywords: TOEFL test,  ANDROID,  Java , Mobile, SDK
 
","Hermawan S.T.,M.Kom","Andharini Dwi Cahyani S.Kom.,M.Kom",Teknik Informatika
