id,Text,clean,cluster
14,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,6
15,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will,6
16,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclub com n qjkgighjjgcbl,6
17,Oh k...i'm watching here:),oh k i m watching here,6
18,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how spell his name yes i did he v naughty make until i v wet,6
19,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine if that s the way u feel that s the way its gota b,5
20,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt poboxox w wq,6
21,Is that seriously how you spell his name?,is that seriously how you spell his name,6
22,IÛ÷m going to try for 2 months ha ha only joking,i m going to try for months ha ha only joking,5
23,So Ì_ pay first lar... Then when is da stock comin...,so pay first lar then when is da stock comin,6
24,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,6
25,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner,6
26,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,4
27,Lol your always so convincing.,lol your always so convincing,6
28,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,9
29,"I'm back &amp; we're packing the car now, I'll let you know if there's room",i m back amp we re packing the car now i ll let you know if there s room,2
30,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol,0
31,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,6
32,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you,0
33,K tell me anything about you.,k tell me anything about you,6
34,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa,4
35,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,6
36,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am,5
37,"Oops, I'll let you know when my roommate's done",oops i ll let you know when my roommate s done,2
38,I see the letter B on my car,i see the letter b on my car,6
39,Anything lor... U decide...,anything lor u decide,6
40,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,4
41,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,4
42,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,9
43,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,6
44,WHO ARE YOU SEEING?,who are you seeing,6
45,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endowed i am lt gt inches,1
46,No calls..messages..missed calls,no calls messages missed calls,6
47,Didn't you get hep b immunisation in nigeria.,didn t you get hep b immunisation in nigeria,6
48,"Fair enough, anything going on?",fair enough anything going on,5
49,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully if tyler can t do it i could maybe ask around a bit,6
50,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,2
51,What you thinked about me. First time you saw me in class.,what you thinked about me first time you saw me in class,6
52,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt,1
53,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,6
54,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing,9
55,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,6
56,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do you know what mallika sherawat did yesterday find out now lt url gt,1
57,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out,6
58,"Sorry, I'll call later in meeting.",sorry i ll call later in meeting,3
59,Tell where you reached,tell where you reached,6
60,Yes..gauti and sehwag out of odi series.,yes gauti and sehwag out of odi series,6
61,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna have to pick up a burger for yourself on your way home i can t even move pain is killing me,6
62,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls are situation seekers,6
63,Its a part of checking IQ,its a part of checking iq,6
64,"Sorry my roommates took forever, it ok if I come by now?",sorry my roommates took forever it ok if i come by now,8
65,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,6
66,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,6
67,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,6
68,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded a complimentary trip to eurodisinc trav aco entry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj,6
69,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",did you hear about the new divorce barbie it comes with all of ken s stuff,6
70,I plane to give on this month end.,i plane to give on this month end,6
71,Wah lucky man... Then can save money... Hee...,wah lucky man then can save money hee,6
72,Finished class where are you.,finished class where are you,6
73,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do something xx,9
74,K..k:)where are you?how did you performed?,k k where are you how did you performed,6
75,U can call me now...,u can call me now,6
76,I am waiting machan. Call me once you free.,i am waiting machan call me once you free,6
77,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool i am a gentleman and will treat you with dignity and respect,6
78,I like you peoples very much:) but am very shy pa.,i like you peoples very much but am very shy pa,0
79,Does not operate after  &lt;#&gt;  or what,does not operate after lt gt or what,1
80,Its not the same here. Still looking for a job. How much do Ta's earn there.,its not the same here still looking for a job how much do ta s earn there,6
81,"Sorry, I'll call later",sorry i ll call later,3
82,K. Did you call me just now ah? ,k did you call me just now ah,4
83,Ok i am on the way to home hi hi,ok i am on the way to home hi hi,8
84,You will be in the place of that man,you will be in the place of that man,6
85,Yup next stop.,yup next stop,6
86,"I call you later, don't have network. If urgnt, sms me.",i call you later don t have network if urgnt sms me,6
87,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis,6
88,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros,6
89,I'm really not up to it still tonight babe,i m really not up to it still tonight babe,9
90,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free,6
91,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah do don t stand to close tho you ll catch something,6
92,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff moro and that includes all my time sheets and that sorry,9
93,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,0
94,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call our customer service representative on between am pm as you have won a guaranteed cash or prize,6
95,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning to buy later i check already lido only got show in e afternoon u finish work already,6
96,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,6
97,Watching telugu movie..wat abt u?,watching telugu movie wat abt u,6
98,i see. When we finish we have loads of loans to pay,i see when we finish we have loads of loans to pay,6
99,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham,6
100,Please don't text me anymore. I have nothing else to say.,please don t text me anymore i have nothing else to say,6
101,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,6
102,I'm still looking for a car to buy. And have not gone 4the driving test yet.,i m still looking for a car to buy and have not gone the driving test yet,6
103,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,6
104,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,6
105,Umma my life and vava umma love you lot dear,umma my life and vava umma love you lot dear,9
106,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,6
107,"Aight, I'll hit you up when I get some cash",aight i ll hit you up when i get some cash,6
108,How would my ip address test that considering my computer isn't a minecraft server,how would my ip address test that considering my computer isn t a minecraft server,6
109,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,0
110,Dont worry. I guess he's busy.,dont worry i guess he s busy,6
111,What is the plural of the noun research?,what is the plural of the noun research,6
112,Going for dinner.msg you after.,going for dinner msg you after,5
113,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i m ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud,0
114,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call claim code k valid hrs only ppm,6
115,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened,6
116,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,6
117,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,you are a winner u have been specially selected receive or a holiday flights inc speak to a live operator claim p min,6
118,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes we must speak friday egg potato ratio for tortilla needed,6
119,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm my uncle just informed me that he s paying the school directly so pls buy food,4
120,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private your account statement for shows unredeemed bonus points to claim call identifier code expires,6
121,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline box wr c ppm,6
122,here is my new address -apples&pairs&all that malarky,here is my new address apples pairs all that malarky,6
123,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app,6
124,I am going to sao mu today. Will be done only at 12 ,i am going to sao mu today will be done only at,5
125,ÌÏ predict wat time Ì_'ll finish buying?,predict wat time ll finish buying,6
126,"Good stuff, will do.",good stuff will do,6
127,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",just so that you know yetunde hasn t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldn t have imposed anything on you in the first place so for that i apologise,4
128,Are you there in room.,are you there in room,6
129,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,6
130,K..k:)how much does it cost?,k k how much does it cost,6
131,I'm home.,i m home,6
132,"Dear, will call Tmorrow.pls accomodate.",dear will call tmorrow pls accomodate,6
133,First answer my question.,first answer my question,6
134,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to sp tyrone,6
135,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want get laid tonight want real dogging locations sent direct ur mob join the uk s largest dogging network bt txting gravel to nt ec a,6
136,I only haf msn. It's yijue@hotmail.com,i only haf msn it s,6
137,He is there. You call and meet him,he is there you call and meet him,6
138,No no. I will check all rooms befor activities,no no i will check all rooms befor activities,6
139,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,you ll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again,6
140,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,got c i lazy to type i forgot in lect i saw a pouch but like not v nice,0
141,"K, text me when you're on the way",k text me when you re on the way,6
142,"Sir, Waiting for your mail.",sir waiting for your mail,6
143,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",a swt thought nver get tired of doing little things lovable persons coz somtimes those little things occupy d biggest part in their hearts gud ni,6
144,I know you are. Can you pls open the back?,i know you are can you pls open the back,2
145,Yes see ya not on the dot,yes see ya not on the dot,6
146,Whats the staff name who is taking class for us?,whats the staff name who is taking class for us,6
147,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,6
148,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma will call after check in our life will begin from qatar so pls pray very hard,6
149,K..i deleted my contact that why?,k i deleted my contact that why,6
150,Sindu got job in birla soft ..,sindu got job in birla soft,6
151,The wine is flowing and i'm i have nevering..,the wine is flowing and i m i have nevering,6
152,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup i thk cine is better cos no need go down plaza mah,6
153,Ok... Ur typical reply...,ok ur typical reply,8
154,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,6
155,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,0
156,Aaooooright are you at work?,aaooooright are you at work,6
157,I'm leaving my house now...,i m leaving my house now,6
158,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me,7
159,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery,6
160,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you are a winner u have been specially selected receive cash or a holiday flights inc speak to a live operator claim,6
161,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life,9
162,New car and house for my parents.:)i have only new job in hand:),new car and house for my parents i have only new job in hand,6
163,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,i m so in love with you i m excited each day i spend with you you make me so happy,9
164,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pls stop bootydelious f is inviting you to be her friend reply yes or no see her stop send stop frnd to,6
165,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabes ur order is on the way u should receive a service msg download ur content if u do not goto wap bangb tv on ur mobile internet service menu,6
166,I place all ur points on e cultures module already.,i place all ur points on e cultures module already,6
167,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent we are trying to contact you last weekends draw shows that you have won a prize guaranteed call claim code s valid hrs only,6
168,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd which is best way to avoid missunderstding wit our beloved one s,6
169,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape i fancy the bridge but needs her lager see you tomo,5
170,Yes :)it completely in out of form:)clark also utter waste.,yes it completely in out of form clark also utter waste,6
171,"Sir, I need AXIS BANK account no and bank address.",sir i need axis bank account no and bank address,6
172,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao,6
173,What time you coming down later? ,what time you coming down later,6
174,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,6
175,"Well, i'm gonna finish my bath now. Have a good...fine night.",well i m gonna finish my bath now have a good fine night,5
176,Let me know when you've got the money so carlos can make the call,let me know when you ve got the money so carlos can make the call,2
177,U still going to the mall?,u still going to the mall,5
178,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth,1
179,Text her. If she doesnt reply let me know so i can have her log in,text her if she doesnt reply let me know so i can have her log in,2
180,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no,0
181,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,6
182,Lol no. U can trust me.,lol no u can trust me,6
183,ok. I am a gentleman and will treat you with dignity and respect.,ok i am a gentleman and will treat you with dignity and respect,6
184,"He will, you guys close?",he will you guys close,6
185,Going on nothing great.bye,going on nothing great bye,5
186,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome are you finding that job not being lazy working towards getting back that net for mummy where s my boytoy now does he miss me,6
187,"Haha awesome, be there in a minute",haha awesome be there in a minute,6
188,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call our customer service representative on freephone between am pm as you have won a guaranteed cash or prize,6
189,Have you got Xmas radio times. If not i will get it now,have you got xmas radio times if not i will get it now,6
190,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,i jus reached home i go bathe first but my sis using net tell u when she finishes k,6
191,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,are you unique enough find out from th august,6
192,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,i m sorry i ve joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week,5
193,Hi :)finally i completed the course:),hi finally i completed the course,6
194,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool,6
195,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how are you doing hope you ve settled in for the new school year just wishin you a gr day,4
196,Gud mrng dear hav a nice day,gud mrng dear hav a nice day,5
197,Did u got that persons story,did u got that persons story,6
198,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,is your hamster dead hey so tmr i meet you at pm orchard mrt,6
199,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx,6
200,"Found it, ENC  &lt;#&gt; , where you at?",found it enc lt gt where you at,1
201,I sent you  &lt;#&gt;  bucks,i sent you lt gt bucks,1
202,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,9
203,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt,1
204,Goodmorning sleeping ga.,goodmorning sleeping ga,6
205,U call me alter at 11 ok.,u call me alter at ok,8
206,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,say until like dat i dun buy ericsson oso cannot oredi lar,0
207,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,6
208,"Aight yo, dats straight dogg",aight yo dats straight dogg,6
209,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,you please give us connection today itself before lt decimal gt or refund the bill,1
210,Both :) i shoot big loads so get ready!,both i shoot big loads so get ready,6
211,"What's up bruv, hope you had a great break. Do have a rewarding semester.",what s up bruv hope you had a great break do have a rewarding semester,5
212,Home so we can always chat,home so we can always chat,6
213,K:)k:)good:)study well.,k k good study well,6
