No,Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
1333,"Tak Kunjung ke Persis Solo, Mateo Kocijan Dikabarkan Gabung Klub Kroasia","KOMPAS.com - Klub Super League Persis Solo menghadapi situasi rumit setelah pemain anyar mereka, Mateo Kocijan, tidak kunjung hadir di Indonesia Meski sudah didaftarkan sejak penutupan bursa transfer Super League, 31 Agustus 2025, namun Mateo Kocijan tak kunjung merapat ke Persis Solo hingga pekan ketujuh kompetisiManajemen klub sempat melayangkan surat teguran resmi untuk gelandang asal Kroasia itu. Dalam pernyataan klub disebutkan, Kocijan sempat memberi kabar bahwa dirinya berangkat menuju Indonesia sebelum pekan kelima.Namun, dalam perjalanan ia dikabarkan mengalami insiden di Qatar yang membuatnya harus dirawat.Setelah itu, ia memilih pulang ke Kroasia untuk menjalani perawatan dan dekat dengan keluarganya.Baca juga: Kata-kata Peter de Roo Usai Persis Solo Ditahan Imbang Arema FC 2-2Pelatih Persis Solo, Peter de Roo, tak bisa menyembunyikan kekecewaannya terhadap Mateo Kocijan.Ia menegaskan bahwa Kocijan sudah menandatangani kontrak pada deadline bursa transfer.“Saya pikir dia dalam perjalanan ke Solo, entah apa yang terjadi tetapi dia tidak pernah sampai di sini,” ucap De Roo.Menurutnya, klub bahkan sudah mengeluarkan surat ultimatum, namun baik pemain maupun agennya sulit dihubungi.Baca juga: Pesan Joey Pelupessy: Timnas Harus Tenang Hadapi Arab Saudi dan Irak""Jadi ya pemain dan agen menempatkan kami dalam posisi yang sangat sulit karena itu adalah penandatanganan transfer di deadline day,"" imbuh De Roo.Meski begitu, ia memilih untuk tetap fokus pada tim yang sudah ada.Di tengah ketidakjelasan, media Kroasia melaporkan bahwa Mateo Kocijan justru sudah kembali bergabung dengan klub lamanya, NK Tehnicar 1974.Tim tersebut bermain di liga regional Kroasia, Elitna ZNL Koprivnicko-krizevacka, yang berstatus kompetisi amatir.Kocijan sendiri pernah membela Tehnicar pada periode 2016 hingga 2021.",30/09/2025,BOLA
7234,Siaran Langsung Korea Open 2025: Ada 4 Laga Tunggal Putra Indonesia,"KOMPAS.com - Empat wakil Indonesia di sektor tunggal putra akan tampil pada hari kedua Korea Open 2025, Rabu (24/9/2025), yang menjanjikan duel-duel menarik.Salah satu sorotan utama di Korea Open 2025 adalah laga Alwi Farhan melawan tunggal putra Malaysia, Leong Jun Hao, pada babak 32 besar.Pertemuan di Suwon Gymnasium, Korea Selatan, ini menjadi duel perdana bagi keduanya di level internasional.Baik Alwi maupun Leong diperkirakan tampil ngotot karena memiliki peringkat dunia yang berdekatan.Saat ini, Alwi menempati posisi 21 dunia, hanya satu strip di bawah Leong (20).Baca juga: Jadwal Korea Open 2025: Alwi Farhan Lawan Wakil MalaysiaTensi pertandingan diprediksi tinggi. Leong baru saja menjadi sorotan setelah menyingkirkan Anthony Sinisuka Ginting pada ajang China Masters 2025.Dengan catatan tersebut, Alwi bakal tampil penuh motivasi untuk membalas dominasi wakil Negeri Jiran.Selain Alwi Farhan, sektor tunggal putra Indonesia masih memiliki tiga wakil lain yang berlaga di babak pertama.Anthony Sinisuka Ginting berhadapan dengan tunggal putra Jepang, Yushi Tanaka.Sementara itu, Jonatan Christie, unggulan kedua, menantang NG Ka Long Angus asal Hong Kong.Serta, Chico Aura Dwi Wardoyo akan diuji Prannoy HS dari India setelah lolos dari babak kualifikasi.Dengan deretan nama besar tersebut, harapan Indonesia untuk melangkah lebih jauh di sektor tunggal putra masih terbuka lebar.Baca juga: Hasil Korea Open 2025: Hajar Wakil Malaysia, Fajar/Fikri ke 16 BesarDok. PBSI Ekspresi pebulu tangkis tunggal putri Indonesia, Putri Kusuma Wardani, kala turun dalam babak 32 besar China Masters 2025 di Shenzen Arena, Selasa (16/9/2025).Dari sektor tunggal putri, Putri Kusuma Wardani menjadi satu-satunya wakil Indonesia. Ia akan berhadapan dengan Anupama Upadhyaya dari India.Sementara di ganda campuran, pasangan muda Jafar Hidayatullah/Felisha Alberta Nathaniel Pasaribu dijadwalkan melawan duet Makau, Leong Lok Chong/Ng Weng Chi.",24/09/2025,BOLA
8562,"Peringkat Akhir Ballon d'Or 2025: Ousmane Dembele Teratas, Mo Salah 5 Besar","KOMPAS.com - Ousmane Dembele berhasil meraih Ballon d'Or 2025. Ia mengungguli nama-nama tenar semodel Lamine Yamal, Mohamed Salah, dan Kylian Mbappe.Acara penghargaan Ballon d'Or telah dilangsungkan di Theatre du Chatelet, Paris, Perancis, pada Senin (22/9/2025) atau Selasa dini hari WIB.Ousmane Dembele tampil sebagai pemenang Ballon d'Or 2025 berkat penampilan cemerlangnya bersama Paris Saint-Germain di sepanjang musim lalu.Dalam peringkat akhir Ballon d'Or 2025, Dembele berada di posisi teratas. Tiga besar dilengkapi oleh Lamine Yamal (Spanyol/Barcelona) dan Vitinha (Portugal/PSG).Baca juga: Daftar Lengkap Peraih Penghargaan Ballon d’Or 2025: Ousmane Dembele Pemain TerbaikLima besar dilengkapi oleh Mohamed Salah (Mesir/Liverpool) dan Raphinha (Brasil/Barcelona). Sementara itu, rekan setim Dembele di timnas Perancis, Kylian Mbappe, bertengger di peringkat tujuh.Pemeringkatan pemain dalam Ballon d'Or 2025 kategori putra dilakukan berdasarkan hasil pemungutan suara jurnalis dari 100 negara teratas ranking FIFA.Sementara itu, untuk kategori putri, ada 50 wartawan yang dilibatkan.Setiap jurnalis diminta menyusun peringkat pemain. Pesepak bola yang ditempatkan di posisi pertama akan mendapatkan 15 poin.Selanjutnya, 12 poin diberikan untuk posisi dua, 10 buat peringkat tiga, 8 untuk posisi empat, 7 angka buat tempat kelima, dan seterusnya.Baca juga: Ousmane Dembele Raih Ballon dOr 2025, Lamine Yamal Dapat Kopa TrophyHasil dari pemungutan suara itu menempatkan Ousmane Dembele sebagai yang teratas.Ousmane Dembele tercatat sebagai pemain Perancis keenam yang sukses menggondol trofi Ballon d'Or yang berbentuk bola emas.Dembele mengikuti jejak Karim Benzema, Zinedine Zidane, Jean-Pierre Papin, Michel Platini, dan Raymond Kopa.""Saya benar-benar tak bisa berkata-kata. Musim yang luar biasa bersama PSG,"" ujar Dembele yang sempat berlinang air mata ketika berpidato di atas podium.AFP/FRANCK FIFE Ousmane Dembele mencium trofi Ballon d'Or dalam upacara penghargaan Ballon d'Or 2025 di Theatre du Chatelet di Paris pada 22 September 2025. (Foto oleh Franck FIFE / AFP)""Ini trofi individu, tetapi sebenarnya kerja kolektiflah yang memenanginya,"" kata Dembele, yang merupakan salah satu dari sembilan personel PSG yang masuk nomine Ballon d'Or 2025.""Ballon d'Or bukanlah tujuan utama saya dalam karier, tetapi saya bekerja keras untuk tim dan memenangi Liga Champions,"" tutur jebolan akademi Rennes tersebut.",23/09/2025,BOLA
5174,Pengamat Sorot Potensi Dampak Absensi Jenner dan Marselino bagi Timnas,"KOMPAS.com - PSSI resmi mengumumkan 28 daftar pemain timnas Indonesia mendekati putaran keempat Kualifikasi Piala Dunia 2026 Zona Asia, pada Oktober nanti.Dari daftar tersebut, dua nama yang selama ini identik dengan skuad Garuda, Ivar Jenner dan Marselino Ferdinan, tidak masuk dalam pilihan pelatih Patrick Kluivert.Keputusan ini memunculkan reaksi dari berbagai pihak, termasuk pengamat sepak bola nasional Rizal Pahlevi.Ia menilai, absennya beberapa pemain penting bisa dimaknai sebagai langkah berani pelatih asal Belanda itu, meski menyisakan tanda tanya besar.Baca juga: Polemik Tiket Laga Timnas di Arab Saudi, Garuda Saudi Peringatkan SuporterMenurutnya, nama Ivar Jenner menjadi kejutan terbesar dalam daftar kali ini.“Karena penampilan sebelumnya cukup oke di klubnya walaupun ada cedera yang mengganggunya,” ujar pengamat yang biasa disapa Rizal itu kepada Kompas.com.""Tapi performanya cukup baik, dia sempat cetak gol pekan lalu yang bisa dibilang gol signature-nya, tembakan-tembakan jarak jauh.""Ia menambahkan, kualitas tendangan jarak jauh pemain FC Utrecht sejatinya menjadi senjata yang sangat berguna ketika Indonesia harus menghadapi lawan sekelas Irak dan Arab Saudi.“Mengingat dua gol yang dicetak untuk timnas di level kelompok umur itu merupakan gol dari luar kotak penalti semua, jadi itu adalah salah satu senjata yang bisa kita manfaatkan. Ini tentunya sebuah absen yang saya rasa sangat kita rindukan dari Ivar Jenner,” imbuhnya.Baca juga: Kata-kata Marc Klok Usai Mendapat Garuda Calling ke Timnas IndonesiaSelain Ivar Jenner, absennya Marselino Ferdinan juga tidak lepas dari perhatian.Ia menilai keputusan Patrick Kluivert cukup beralasan, meski tetap disayangkan.“Ada Marselino yang menurut saya agak tricky. Performanya saat FIFA Matchday melawan Taiwan dan Lebanon tidak mengesankan, mungkin karena mind fitness yang tidak 100 persen,"" kata Rizal Pahlevi.""Musim ini dia banyak bermain untuk Indonesia dibandingkan dengan klub, jadi saya rasa ini pemanggilan yang cukup beralasan jika tidak ada nama dari seorang Marselino Ferdinan di putaran keempat ini,” imbuhnya.Namun, ia tidak menampik bahwa secara individu, kualitas Marselino Ferdinan masih salah satu yang terbaik di timnas Indonesia.“Seperti saat melawan Arab Saudi September lalu. Tapi apabila kita kilas balik kata Patrick Kluivert soal indikator pemanggilan, salah satunya menit bermain, dan saya rasa Marselino terbatas dari menit bermain tersebut,” tuturnya.KOMPAS.COM/SUCI RAHAYU Pemain timnas Indonesia Marselino Ferdinan menggiring bola saat laga FIFA Matchday melawan Lebanon yang berakhir dengan skor 0-0 di Stadion Gelora Bung Tomo Surabaya, Jawa Timur, Senin (8/9/2025) malam.",25/09/2025,BOLA
1090,Bangkok United Vs Persib: Adu Harga Muhsen dan Thom Haye,"KOMPAS.com - Pertandingan Bangkok United melawan Persib Bandung di matchday kedua AFC Champions League Two (ACL 2).Duel Bangkok United vs Persib Bandung kick-off pada Rabu (1/10/2025) pukul 19.15 WIB dan berlangsung di Stadion BG Thanyaburi.Selain persaingan di lapangan, laga ini juga mempertemukan Bangkok United dan Persib Bandung dengan kekuatan skuad yang hampir seimbang dari sisi nilai pasar.Melansir Transfermarkt, nilai pasar Bangkok United tercatat Rp 134,71 miliar.Persib Bandung berada sedikit di bawahnya dengan Rp 128,36 miliar.Perbedaan tipis ini menunjukkan kedua klub memiliki komposisi skuad dengan kapasitas finansial relatif setara.Baca juga: Bangkok United Vs Persib: Andrew Jung Ingin Curi 3 Poin dari Klub Pratama ArhanPersib mengandalkan sejumlah pemain bernilai tinggi. Gelandang Thom Haye menjadi pemain termahal di kubu Maung Bandung dengan nilai Rp17,38 miliar.Thom Haye berperan penting dalam mengatur permainan tim asuhan Bojan Hodak.Musim ini, Thom Haye sudah tampil empat kali bersama Persib Bandung, dengan dua laga terakhir bermain selama 90 menit penuh.Selain Haye, terdapat pula Eliano Reijnders di skuad Persib yang tercatat memiliki nilai Rp10,43 miliar.Sementara bek asal Italia, Federico Barba, menempati urutan berikutnya sebagai pemain termahal Persib dengan Rp8,69 miliar.Baca juga: Daftar Pemain Timnas di Kualifikasi Piala Dunia 2026: Dewa United Kirim 3, Persib TerbanyakJelang menjamu Persib Bandung, Bangkok United juga datang dengan pemain bernilai besar.Striker asal Oman, Muhsen Al Ghassani, menjadi pemain termahal Persib dengan nilai Rp17,38 miliar.Nilai Muhsen Al Ghassani tersebut setara dengan Thom Haye di pihak Persib.Kehadiran Muhsen diyakini bisa memberi tekanan bagi pertahanan Persib Bandung.",30/09/2025,BOLA
6086,Siaran Langsung Korea Open 2025: Duel Apriyani/Fadia vs Baek/Lee,"KOMPAS.com - Simak siaran langsung Korea Open 2025, termasuk duel ganda putri Indonesia, Apriyani Rahayu/Siti Fadia Silva Ramadhanti, melawan Baek Ha Na/Lee So Hee (Korea Selatan).Mereka dijadwalkan tampil pada Kamis (25/9/2025) pagi di Suwon Gymnasium, Suwon, Korea Selatan.Dalam partai pembuka di lapangan 1, Apriyani Rahayu/Siti Fadia Silva Ramadhanti akan melawan unggulan ketiga turnamen, Baek Ha Na/Lee So Hee.Pasangan tuan rumah tersebut dikenal memiliki pertahanan rapat dan serangan balik cepat, sehingga duel diprediksi berlangsung sengit.Bagi Apriyani/Fadia, laga ini menjadi ujian krusial untuk mengukur konsistensi mereka di turnamen Super 500.Baca juga: Jadwal Korea Open 2025: Apri/Fadia Lawan Unggulan Korea SelatanSelain Apriyani/Fadia, ada sederet wakil Indonesia lain yang juga siap berlaga.Dari sektor ganda campuran, Jafar Hidayatullah/Felisha Alberta Nathaniel Pasaribu akan berhadapan dengan pasangan tangguh Denmark, Mathias Christiansen/Alexandra Boje.Christiansen/Boje tengah dalam performa menanjak usai menjuarai Macau Open 2025 dan Indonesia Masters Super 100, sehingga Jafar/Felisha wajib waspada terhadap permainan cepat mereka.Di sektor tunggal putra, Jonatan Christie akan melawan Lee Chia Hao (Taiwan), sementara Chico Aura Dwi Wardoyo ditantang unggulan ketiga, Chou Tien Chen (Taiwan).Untuk nomor ganda putra, Fajar Alfian/Muhammad Shohibul Fikri akan berduel dengan wakil Jepang, Kenya Mitsuhashi/Hiroki Okamura.Selain itu, Anthony Sinisuka Ginting akan menghadapi Kenta Nishimoto (Jepang), dan Putri Kusuma Wardani bersua Pai Yu Po (Taiwan).Baca juga: Rekap Hasil Korea Open 2025: 4 Tunggal Putra Indonesia Tembus 16 BesarDok. PBSI Aksi pebulu tangkis Indonesia, Jonatan Christie, dalam babak 32 besar Korea Open 2025 di Suwon Gymnasium, Rabu (24/9/2025).Court 1 (mulai 08.00 WIB):WD – Apriyani Rahayu/Siti Fadia Silva Ramadhanti vs Baek Ha Na/Lee So Hee (3) (Korea Selatan)XD – Jafar Hidayatullah/Felisha Alberta Nathaniel Pasaribu (8) vs Mathias Christiansen/Alexandra Boje (Denmark)MS – Jonatan Christie (4) vs Lee Chia Hao (Taiwan)MS – Alwi Farhan vs Lee Cheuk Yiu (Hong Kong)Court 2:",25/09/2025,BOLA
8201,Kata-kata Emil Audero Usai Ukir Clean Sheet Beruntun di Liga Italia,"KOMPAS.com - Kiper Timnas Indonesia, Emil Audero, memberikan komentar setelah berhasil mencatatkan dua clean sheet berturut-turut dalam Liga Italia Serie A 2025-2026.Emil Audero, yang kini menjadi kiper utama US Cremonese, telah tampil dalam empat laga Serie A musim ini.Pada pekan keempat, Emil Audero memiliki peranan yang sangat vital saat Cremonese berhadapan dengan Parma di Stadion Giovanni Zini pada Minggu (21/9/2025).Emil Audero berhasil menjaga gawang Cremonese tidak kebobolan hingga pertandingan berakhir dengan hasil imbang 0-0.Rating performa Emil Audero dalam laga tersebut adalah 7,2, dan dia berhasil melakukan tiga penyelamatan.Baca juga: Hasil Cremonese Vs Parma 0-0: Emil Audero Catat 4 Clean Sheet BeruntunSebelumnya, pada pekan ketiga, Emil Audero juga berhasil mencatatkan clean sheet saat menghadapi Hellas Verona pada 15 September 2025.Pertandingan di stadion lawan, Marcantonio Bentegodi, itu juga berakhir tanpa gol, yakni 0-0, dan Audero melakukan sembilan penyelamatan. Ia pun menerima rating 8,8.Setelah laga melawan Parma, Emil Audero menyatakan kebanggaannya atas pencapaian clean sheet beruntun tersebut.""Satu poin lagi dan clean sheet lagi,"" tulis Emil Audero dalam unggahan di Instagramnya pada Senin (22/9/2025).Baca juga: Aksi Pemain Timnas Indonesia di Liga Top Eropa Pekan Ini: Jay Idzes Solid, Emil Audero Clean Sheet""Mari kita lihat ke depan! Ayo Cremo!"" tulis Audero di Instagram.Saat ini, Cremonese berada di posisi keenam klasemen Serie A Liga Italia 2025-2026 dengan total delapan poin. Tim beralias Il Grigiorossi (Si Abu-abu-Merah) selisih empat poin dari Napoli yang memimpin klasemen.Selanjutnya, Cremonese akan menghadapi Como pada Sabtu (27/9/2025). Hal yang menarik, Emil Audero, merupakan kiper pinjaman dari Como.",23/09/2025,BOLA
3201,Hasil Tottenham Vs Wolves 1-1: Bukti Betapa Ketatnya Liga Inggris,"KOMPAS.com - Partai Tottenham vs Wolves yang berkesudahan imbang 1-1 menunjukkan betapa ketatnya Premier League, kasta tertinggi Liga Inggris.Bagaimana tidak? Tottenham Hotspur harus menunggu hingga detik-detik akhir untuk menghindari kekalahan tim juru kunci, Wolverhampton Wanderers.Gol Joao Palhinha di masa tambahan waktu memastikan skor Tottenham vs Wolves 1-1.Partai Tottenham vs Wolves yang masuk rangkaian pekan keenam Liga Inggris 2025-2026 digelar di Stadion Tottenham Hotspur, Sabtu (27/9/2025) malam waktu setempat atau Minggu dini hari WIB.Tim tamu yang datang dengan catatan lima kekalahan beruntun di liga justru membuka keunggulan lebih dulu lewat gol Santiago Bueno pada menit ke-54.Gol itu membuat Wolves berharap bisa menuai kemenangan pertama musim ini.Baca juga: Hasil dan Klasemen Liga Inggris: Man City Pesta Gol, Liverpool Kalah PerdanaNamun drama tersaji di pengujung laga ketika Joao Palhinha mencetak gol indah empat menit memasuki injury time.Skor jadi 1-1 dan Spurs pun berhasil mengamankan satu poin berharga.Tambahan satu poin mengangkat Tottenham ke peringkat tiga klasemen. Tim asuhan Thomas Frank berjarak empat angka dengan sang pemuncak klasemen Premier League 2025-2026, Liverpool.“Tentu saja kami ingin mendapatkan tiga poin, tapi mendapatkan satu poin sudah bagus. Ini pengingat bahwa liga ini sangat ketat,” kata Frank.“Saya pikir dasar tim ini sudah baik. Pertahanan yang solid, bekerja keras, dan berlari dengan cepat. Bagian serangan adalah hal yang perlu kami kembangkan lebih lanjut. Saya berharap kami bisa melakukan lebih banyak hari ini,” tutur eks pelatih Brentford tersebut.Baca juga: Hasil Crystal Palace vs Liverpool 2-1: Dramatis di Penghujung LagaTottenham sebenarnya memulai pertandingan dengan agresif. Spurs mengancam via tandukan Mohammed Kudus yang nyaris membuka skor lebih awal bagi tuan rumah.Kudus lantas sempat menjebol gawang Wolves melalui tembakan keras ke sudut atas gawang setelah kombinasi satu-dua dengan Lucas Bergvall.Tetapi, gol tersebut dianulir karena Kudus sudah lebih dulu berada dalam posisi offside.Wolves yang awalnya kesulitan keluar dari tekanan justru hampir unggul jelang turun minum, saat sepakan mantan bek Tottenham, Matt Doherty, hanya mengenai mistar gawang.",28/09/2025,BOLA
9795,"Hasil Fiorentina Vs Como 1-2: Dua Assist Nico Paz, Tim Fabregas Menang","KOMPAS.com - Nico Paz mencatat dua assist dan membantu Como membawa pulang kemenangan dari kandang Fiorentina. Laga Fiorentina vs Como berkesudahan 1-2.Pekan keempat Liga italia 2025-2026 antara Fiorentina vs Como dilangsungkan di Stadion Artemio Franchi, Minggu (21/9/2025).Tuan rumah Fiorentina sempat memimpin lebih dulu lewat gol cepat Rolando Mandragora pada menit ke-6.Como 1907 racikan Cesc Fabregas kemudian menciptakan gol balasan pada paruh kedua melalui sundulan Marc-Oliver Kempf (65'), memanfaatkan sepakan bebas Nico Paz.Kemenangan Como 1907 dipastikan oleh gol Jayden Addai pada masa injury time, menyusul operan terobosan Nico Paz.Baca juga: Morata Nyaris Bikin Gol Bunuh Diri, Buang Peluang Como, Tetap Dipuji FabregasDengan hasil ini, Fiorentina asuhan Stefano Pioli, pun belum mampu menorehkan kemenangan perdana di Liga Italia 2025-2026.Sebelum ditahan Como 1-1, Fiorentina kalah 1-3 dari Napoli dan berbagi satu angka kala bersua Torino (0-0) serta Cagliari (1-1).Di sisi lain, Como 1907 besutan Fabregas sukses kembali ke jalur kemenangan usai puasa tiga angka dalam dua partai terkini di pentas Serie A.Usai menang 2-0 atas Lazio pada pekan pembuka, Como besutan Cesc Fabregas dibekuk Bologna (0-1) dan ditahan imbang Genoa 1-1.Upaya Como untuk kembali ke jalur kemenangan langsung mendapatkan tantangan serius mengingat Fiorentina mampu mengemas gol cepat via Rolando Mandragora, dalam sebuah situasi tendangan bebas.Eksekusi tendangan bebas Mandragora sempat mengenai pagar betis, namun bola liar kembali ia kuasai.Baca juga: Kata Cesc Fabregas Usai Como Vs Genoa 1-1, Tak Setuju dengan VieiraMandragora lantas melepas sepakan keras yang tak mampu dibendung kiper Como, Jean Butez.Gol itu membuat pasukan Stefano Pioli tampil lebih percaya diri dalam membangun serangan.Como sempat memberikan ancaman melalui aksi Maximo Perrone pada menit ke-21, namun sundulannya masih melayang di atas mistar.Menjelang turun minum, Como sempat menyamakan skor lewat Diego Carlos, namun gol dianulir wasit karena alasan offside. Skor 1-0 bertahan hingga jeda.",22/09/2025,BOLA
7096,Komentar Arne Slot Soal Kartu Merah Hugo Ekitike di Liverpool,"KOMPAS.com - Pelatih Liverpool, Arne Slot, harus melihat timnya menutup laga dramatis melawan Southampton hanya dengan 10 pemain setelah Hugo Ekitike menerima kartu merah.Pertandingan putaran ketiga Piala Liga Inggris atau Carabao Cup 2025-2026 di Anfield, Rabu (24/9/2025) dini hari WIB, berakhir dengan skor 2-1 untuk kemenangan Liverpool.Gol tuan rumah dicetak oleh Alexander Isak pada menit ke-43 dan Hugo Ekitike pada menit ke-85, sedangkan Southampton membalas lewat Shea Charles (76’).Kendati demikian, hanya semenit setelah membawa Liverpool unggul kembali, Ekitike diusir wasit.Ia melakukan selebrasi dengan melepas jersei dan menunjukkannya ke suporter, seperti perayaan gol ikonik Lionel Messi pada El Clasico 2017.Baca juga: Liverpool vs Southampton: Kata-kata Alexander Isak Usai Cetak Gol PerdanaKarena sudah mengantongi kartu kuning di menit ke-53, aksi tersebut berbuah kartu kuning kedua yang otomatis berubah menjadi kartu merah.Meski Ekitike berstatus pemain pengganti, kontribusinya sangat penting lewat gol penentu kemenangan.Namun, aturan FIFA yang melarang selebrasi membuka baju membuat Liverpool harus kehilangan sang penyerang.Arne Slot menilai kartu merah itu seharusnya bisa dihindari.“Kartu merah tidak perlu dan bodoh. Kartu kuning yang pertama tidak perlu dan terlihat makin bodoh karena Anda harusnya bisa mengontrol emosi Anda,” ujar Slot dikutip dari situs resmi klub.“Lebih bagus jika Anda dapat mengontrol emosi dan jika tidak bisa, maka jangan lakukan apapun yang bisa melahirkan kartu kuning. Kartu merah itu tidak perlu, tidak pintar. Anda bisa menyebutnya bodoh, saya pun menyebutnya seperti itu juga.”Baca juga: Hasil Liverpool Vs Southampton 2-1, Alexander Isak Pecah TelurAFP/PAUL ELLIS Hugo Ekitike menjadi penentu kemenangan Liverpool saat menyingkirkan Southampton dengan skor 2-1 di putaran ketiga Carabao Cup, Selasa (23/9/2025) malam waktu setempat atau Rabu dini hari WIB. Namun, selebrasi membuka jersey sang striker justru membuatnya harus meninggalkan lapangan lebih cepatHugo Ekitike otomatis mendapat larangan bermain satu laga. Awalnya sempat muncul perdebatan apakah hukuman itu berlaku di Carabao Cup atau Liga Inggris.Namun, akun resmi Fantasy Premier League memastikan Ekitike bakal absen saat Liverpool bertemu Crystal Palace di Premier League.Absennya Ekitike menjadi masalah serius bagi Arne Slot, mengingat sang penyerang sudah mencetak 5 gol dari 8 laga musim ini, termasuk 3 gol di Liga Inggris.Sementara itu, Alexander Isak, rekrutan termahal klub, belum tampil konsisten karena kondisi fisik yang belum sepenuhnya pulih.Baca juga: Saat Selebrasi Lionel Messi Berakibat pada Kartu Merah Hugo Ekitike...Arne Slot menegaskan Isak masih perlu waktu untuk mencapai kebugaran penuh. Partai Liverpool kontra Crystal Palace di Selhurst Park, Sabtu (27/9/2025) pukul 21.00 WIB, akan menjadi ujian berat tanpa kehadiran Hugo Ekitike sebagai motor serangan utama.",24/09/2025,BOLA
9303,Mbappe Jagokan Mantan Rekannya di PSG Menangi Ballon d'Or 2025,"KOMPAS.com - Pengumuman Ballon d'Or 2025 akan dilakukan di Theatre du Chatelet, Paris, Senin (22/9/2025) waktu setempat atau Selasa (23/9/2025) dini hari WIB.Jadwal Ballon d'Or 2025 menjadi sorotan karena persaingan gelar pemain terbaik dunia diprediksi berlangsung ketat.Penyerang Real Madrid Kylian Mbappe telah menentukan kandidat pilihannya untuk memenangi penghargaan Ballon d'Or 2025.Kylian Mbappe memilih mantan rekannya di Paris Saint-Germain untuk merengkuh Ballon d'Or 2025.Setelah dominasi Lionel Messi dan Cristiano Ronaldo berakhir, nama-nama baru memang bermunculan untuk bersaing, seperti Lamine Yamal, Ousmane Dembele, Jude Bellingham, hingga Erling Haaland.Baca juga: Ramalan Rodri Sebut Lamine Yamal Menangi Ballon dOr, Akankah Nyata?Dalam wawancara bersama stasiun televisi Telefoot, Mbappe secara terbuka menyebut Ousmane Dembele layak meraih penghargaan Ballon d'Or 2025.""Apakah Ousmane Dembélé pantas mendapatkannya?"" tanya jurnalis kepada Mbappe, dikutip dari Mundo Deportivo, Minggu (21/9/2025).""Ya, bagi saya memang pantas. Saya harap dia menang. Saya telah mendukungnya sejak awal. Bagi saya, wajar saja untuk mendukungnya,"" ujar penyerang timnas Prancis itu.Mbappe dan Dembele pernah bermain bersama di Paris Saint-Germain (PSG) pada musim 2023-2024, sehingga keduanya memiliki hubungan dekat.Dukungan Mbappe menambah sorotan terhadap kans Dembele untuk menjadi pemenang.FIFA via Getty Images/Emilee Chinn Penyerang PSG Ousmane Dembele merayakan gol ke gawang Real Madrid. Paris Saint-Germain tampil dominan dan menyingkirkan Real Madrid dengan skor telak 4-0 pada semifinal kedua Piala Dunia Antarklub 2025, yang berlangsung Kamis (10/7/2025) dini hari WIB di MetLife Stadium, New Jersey.Dembele menjadi salah satu dari delapan pemain PSG yang masuk nominasi Ballon d'Or 2025.Musim lalu, Dembele membantu PSG meraih quadruple dengan memenangi empat trofi, termasuk gelar liga domestik dan Piala Prancis.Baca juga: Setahun Silam, Ini Daftar Peraih Penghargaan Ballon dOr 2024Salah satu prestasi tertingginya adalah mengantarkan PSG meraih gelar Liga Champions perdana musim lalu. Total ia membukukan 35 gol di musim tersebut.Performa konsisten Dembele membuat namanya masuk daftar unggulan Ballon d'Or 2025 untuk meraih penghargaan ini.",22/09/2025,BOLA
