Keyword,DOI,Title,Abstract
web usage mining,10.1007/978-3-031-90470-7_6,‘Internet of Things’ and ‘Social Networking’: Containment,"Moving to the post-2000 period, or the post-formation Internet Polity, this chapter begins with the implications of the internet becoming the centred repository of sources, medium of investigation, and object in historicist accounts of recent and contemporary events. Debates on ‘technological determinism Technological determinism ’ are considered here. As events, 9/11 and the 2000 dot-com crash are pegged as turning points. A broad argument is proposed about the condition of the Internet Polity thereafter. It is suggested that it became contained in two moves during the 2000s. This containment involved, first, a space of the internet opening beyond the scope of the Internet Polity. This space incorporated data exchanges between ‘smart’ objects, unsupervised systems, and machine-learning systems. Second, much of the Internet Polity discourse and collective life became concentrated in very large platforms, which have global reach, local penetration, and data-management standards. This move facilitated the burgeoning data market and fed into the first move. The two moves are outlined by focusing on two catchwords and related terms. The first is addressed via the connotations of ‘Internet of Things’ and ‘smart’ objects, and the second by pausing on ‘social networking’ (on ‘sites’ or ‘platforms’). This chapter, and the study, concludes by briefly reconsidering the formative first principles of the Internet Polity, and pinpointing areas for further investigations."
web usage mining,10.1007/978-3-032-00983-8_5,Survey on Data Mining and Machine Learning Methods Used in Analyzing Tweets,"It is observed that the Mental illness by the actions and individual emotions and expressions towards a particular situation. It indicates that American Psychiatric Association that has 19% of people experience mental illness. Nearly 4.1% of people [ 1 ] are seriously affected by mental illness. In 2019, World Health Organization(WHO) reported that 264 million people suffer from mental disorders. With the technological growth and affordable internet access, social media usage and impacts are increased in society. Users use social networks to show their emotions, views, and comments related to mental health on various events and themselves. Different intelligent methods that analyze tweets related to depression are summarized. New research areas in analyzing data on social networks are discussed. This article highlights the data mining and machine learning methods associated with mental health using Twitter data."
web usage mining,10.1007/978-3-031-93802-3_7,Unveiling Power Laws in Graph Mining: Techniques and Applications in Graph Query Analysis,"Power laws play a crucial role in understanding the structural and functional properties of real-world graphs, influencing various aspects of graph mining and query processing. This paper explores the prevalence of power-law distributions in large-scale graph structures and their implications for graph query analysis. We investigate techniques for efficiently mining graphs that exhibit power-law characteristics, leveraging these distributions to optimize query performance and scalability. Our study presents a comprehensive review of existing methodologies for detecting power-law behavior in graphs, highlighting their impact on graph traversal, indexing, and query execution. We also examine algorithmic optimizations tailored for power-law graphs, including degree-based indexing, community-aware search techniques, and efficient subgraph matching approaches. Furthermore, we discuss the applications of power-law principles in diverse domains such as social network analysis, bioinformatics, and knowledge graphs. Through empirical analysis on real-world datasets, we demonstrate how power-law-aware techniques improve query efficiency and reduce computational complexity in large graph databases. The findings of this study offer valuable insights into the interplay between graph topology and query optimization, paving the way for enhanced graph mining frameworks. Our work contributes to the development of more scalable and intelligent graph query processing systems, with broad implications for data-driven decision-making."
web usage mining,10.1007/978-3-032-02215-8_7,An Enhanced FP-Growth Algorithm with Hybrid Adaptive Support Threshold for Association Rule Mining,"Finding frequent itemsets remains challenging due to manual threshold specification requirements in existing algorithms. This paper presents an Enhanced FP-Growth algorithm incorporating a hybrid adaptive support threshold that combines statistical variance analysis, frequency distribution patterns, and transaction density metrics. The algorithm automatically adjusts support levels based on dataset characteristics, eliminating manual threshold tuning. Experimental evaluation on five benchmark datasets against Aprior, FP-growth, and FP-Max shows our Enhanced FP-Growth consistently achieves superior execution time and improved memory efficiency. The hybrid threshold mechanism dynamically calibrates according to dataset characteristics, offering substantial efficiency gains across diverse data types."
web usage mining,10.1007/978-3-031-93257-1_6,Adaptive Web API Recommendation via Matching Service Clusters and Mashup Requirement,"With the rapid proliferation of Web services and Web APIs, recommendation systems can effectively address the issue of information overload and alleviate the burden of meaningless filtering. Existing approaches can help filtering appropriate Web services for mashup creation, however, they often fall short of developers’ different and personalized needs by recommending only a fixed number of APIs and lack precision in aligning mashup requirements across all categories. To solve the above issue, this paper introduces a novel Web service recommendation framework called AWAR for mashup creation, which focuses on the matching strategy between mashup requirements and Web APIs, and enhances recommendation effectiveness by integrating natural language processing, optimization algorithms, and deep learning. Extensive experiments conducted on large-scale real datasets demonstrate that the proposed approach receives superior recommendation results on multiple evaluation metrics compared to advanced competing baselines."
web usage mining,10.1007/978-3-032-02088-8_29,Benchmarking Embedding Techniques for Modeling User Navigation Behavior on Task-Oriented Software,"Understanding user navigation patterns from clickstream data is crucial for improving business software, yet remains challenging due to the complexity and variability of real-world environments. Unlike controlled settings, real-world clickstreams are noisy, fragmented, and often incomplete, due to session timeouts, network issues, caching, or third-party interactions—making it difficult to reconstruct coherent user journeys. Additionally, the absence of labeled data hinders the use of supervised learning, pushing researchers toward unsupervised or heuristic-based approaches that struggle to fully capture user behavior. In this paper, we present a benchmark of embedding techniques for modeling user navigation behavior on task-oriented software. We identify distinct user behaviors across three real-world case studies. Results show that Pattern2Vec outperforms Word2Vec in capturing meaningful task-based navigation patterns, confirming its suitability for clickstream analysis."
web usage mining,10.1007/978-3-032-01723-9_9,Analyzing Water Consumption Patterns in Mexico City: A GIS and Data Science Approach,"Water scarcity in Mexico City has become an increasingly urgent issue, exacerbated by inefficient and unequal consumption patterns across its urban fabric. This study advances Geographic Information Systems (GIS) research by developing and applying an integrative spatial analysis framework specifically tailored to the complexities of urban water management. Beyond its application to Mexico City, the research demonstrates how GIS can be used to fuse heterogeneous datasets, including those from SACMEX (Mexico City’s Water System), INEGI (National Institute of Statistics and Geography), and DENUE (National Directory of Economic Units), into a unified analytical environment. Through a combination of exploratory data analysis (EDA), spatial data mining, and clustering techniques, the study identifies critical disparities in water consumption at multiple spatial scales, from boroughs to neighborhoods. A key contribution is the implementation of a layered system architecture for managing historic spatiotemporal data, enabling dynamic visualization of consumption patterns. The findings reveal that socio-economic and demographic variables play a decisive role in shaping spatial water demand, with marginalized communities facing disproportionate challenges. While previous spatiotemporal analyses of water consumption in Mexico City have primarily focused on aggregated borough-level data or isolated socio-demographic correlations, they have often lacked multiscale integration, high-resolution neighborhood-level analysis, or interactive visualization tools to support policy development. This research addresses these limitations by providing a fine-grained, multilayered analytical approach that enhances the scientific understanding of urban water use. Beyond offering immediate policy-relevant insights for Mexico City, the methodological framework proposed here contributes to GIS research by providing a scalable, transferable approach for analyzing urban resource consumption patterns. Future work will focus on incorporating real-time data streams, expanding sector-specific analysis, and integrating additional variables and domains required for a comprehensive understanding of water dynamics. This study represents a first step toward building an adaptive, equitable, and efficient urban water management strategy."
web usage mining,10.1007/978-981-96-6951-6_19,Research on Sensor Behavioral Psychological Health Based on Multi-task Learning,"As society develops, mental health is becoming increasingly important. Traditional mental health assessment methods, such as face-to-face interviews and observational techniques, are limited by several factors, including subjectivity, response delays, and high costs. To address these issues, recent research has utilized smart sensor data. Using smartphones to collect data provides valuable insights into student behavior while ensuring the privacy of the individuals involved. The transition from traditional questionnaires to sensor data has prompted the adoption of a multi-task learning (MTL) framework for a more comprehensive classification of mental health. This study investigates the relationship between behavioral attributes and mental health dimensions, using the Apriori algorithm for association rule mining and feature extraction. This method uncovers significant correlations, highlighting the close connection between mental health and behavioral data through detailed analysis. The study proposes the use of multi-task modeling to optimize information utilization and identify correlations across tasks. The introduction of the Deep Cross Network with Squeeze and Excitation Network and Progressive Layered Extraction (DC-SE-PLE), a deep learning neural network model, enhances hierarchical feature extraction and cross-task learning, significantly improving the model’s generalization and prediction accuracy."
web usage mining,10.1007/978-3-031-89518-0_1,On the Centrality of Web Trackers: Assessing Its Potential for Automated Detection,"For the past 20 years, web tracking has raised worries among privacy advocates and authorities responsible for data protection. Researchers have proposed several machine learning-driven remedies to identify Web trackers in an automated manner. While those have displayed potential, they have primarily remained as proofs-of-concept. This work extends on t.ex-Graph outlined in our previous work [ 36 ]. The aim of this model is to distinguish benign from tracking hosts by considering their centrality in the network, and data flows to them. Based on the results of our previous work, we abandoned the SLD-based approach. Consequently, we made slight modifications to the feature vector. Our classifier’s performance is comparable to its original version, and we tested its cross-browser and longitudinal performance. Our results indicate that while the cross-browser performance significantly decreases, the longitudinal performance maintains a high level."
web usage mining,10.1007/978-3-032-02215-8_6,FNoDe: Faulty Node Detection in Microservices Architecture,"As cloud services shift from monolithic architectures to microservices, post-failure fault and anomaly detection becomes increasingly challenging due to cascading effects across interdependent services and the overwhelming volume of heterogeneous logs and metrics. We propose FNoDe (Faulty Node Detection), a framework that integrates application logs, performance metrics, and distributed traces into a unified graph structure to detect both the root cause and type of anomaly. By leveraging a graph convolutional network (GCN), FNoDe learns system representations under normal and anomalous states from historical microservice data and uses these embeddings to classify new system states. Evaluated on five public benchmarks and two in-house microservice systems, FNoDe outperforms traditional methods by 20–30% in accuracy and maintains competitive performance with state-of-the-art frameworks, while also offering interpretability through XAI techniques."
data mining,10.1007/978-3-031-93530-5_1,Introduction,"Many leading enterprises have started seeking opportunities to leverage advanced analytics on employee-related data to provide evidence-based insights into their workforce [65]. Among others, Google’s project “Oxygen” is an example of successfully deploying workforce analytics, which helped improve the company’s productivity and employee well-being and build up effective human resource management practices [40]. Yet, there are practical challenges that prevent workforce analytics from realizing its promise. One notable challenge is concerned with the absence of group-oriented analysis pivotal to strategy execution and organizational effectiveness [56]. For example, current workforce analytics has not yet enabled consistent comparisons across internal groups within organizations [44]."
data mining,10.1007/978-3-032-00983-8_5,Survey on Data Mining and Machine Learning Methods Used in Analyzing Tweets,"It is observed that the Mental illness by the actions and individual emotions and expressions towards a particular situation. It indicates that American Psychiatric Association that has 19% of people experience mental illness. Nearly 4.1% of people [ 1 ] are seriously affected by mental illness. In 2019, World Health Organization(WHO) reported that 264 million people suffer from mental disorders. With the technological growth and affordable internet access, social media usage and impacts are increased in society. Users use social networks to show their emotions, views, and comments related to mental health on various events and themselves. Different intelligent methods that analyze tweets related to depression are summarized. New research areas in analyzing data on social networks are discussed. This article highlights the data mining and machine learning methods associated with mental health using Twitter data."
data mining,10.1007/978-3-032-02929-4_23,FairPM: A Taxonomy of Bias and Interventions in Process Mining,"As organizations increasingly rely on data-driven methods to support decision-making, ensuring fairness in their processes becomes critical. Fairness in responsible process mining involves preventing unfair outcomes and recognizing potential biases that may arise in the different stages of process mining initiative. Acting fairly entails treating individuals equitably, irrespective of inherent or acquired characteristics such as gender, race, or disability, while ensuring compliance with legal and organizational fairness standards. While fairness in process mining has been explored in prior research, there remains a lack of conceptualization to identify, understand, and address fairness issues. To bridge this gap, we propose FairPM , a taxonomy that conceptualizes biases in process mining and the corresponding interventions to mitigate them. Our approach builds on theory adaptation as research method. It integrates an adaptation of biases and interventions from prior machine learning research into process mining. We illustrate the applicability of FairPM through three scenarios, demonstrating its relevance for both academia and industry. This research contributes to the growing field of fair process mining by providing a structured conceptualization that enables researchers and practitioners to diagnose biases and implement fairness interventions, ensuring equitable and unbiased process mining outcomes."
data mining,10.1007/978-3-031-93802-3_5,Efficient Frequent Subgraph Mining: Algorithms and Applications in Complex Networks,"Frequent subgraph mining (FSM) is a fundamental problem in graph analysis with wide-ranging applications in bioinformatics, social network analysis, cybersecurity, and cheminformatics. This paper presents efficient algorithms for FSM in complex networks, addressing the computational challenges posed by large-scale graph data. Traditional approaches often suffer from scalability issues due to the combinatorial explosion of subgraph candidates. To mitigate these challenges, we propose an optimized FSM framework leveraging advanced pruning techniques, graph compression, and parallel computing. Our approach incorporates pattern-growth strategies with heuristic search methods to improve computational efficiency while maintaining accuracy. We evaluate our proposed algorithms on benchmark datasets, demonstrating significant performance gains over existing methods in terms of runtime and memory consumption. Additionally, we explore real-world applications, such as detecting anomalous patterns in cybersecurity networks, identifying molecular structures in drug discovery, and analyzing connectivity patterns in social networks. The results underscore the potential of efficient FSM algorithms in extracting meaningful insights from complex graph data. This research contributes to the advancement of graph mining techniques, providing a scalable and effective solution for large-scale network analysis. Future work will explore deep learning-based enhancements to further optimize FSM in dynamic and evolving graph structures."
data mining,10.1007/978-3-032-00983-8_6,Optimizing Powder Factor for Sustainable Mining Operations Through Machine Learning Models: A Step Towards Intelligent Mining,"This research addresses the challenge of optimizing the powder factor (PF) in mining operations to enhance blasting efficiency and sustainability. Machine learning models, including Linear Regression (LR), Random Sample Consensus (RANSAC), and Huber Regressor (HR), were employed to develop a predictive framework for PF optimization. Model performance was evaluated using metrics such as R^2 (0.9829 for LR, 0.9827 for RANSAC, and 0.9824 for HR), Mean Absolute Error (MAE), and Root Mean Square Error (RMSE), demonstrating their high predictive accuracy. The findings highlight the capability of machine learning to improve blasting control, reduce environmental impacts, and promote sustainable mining practices. By integrating artificial intelligence into mining operations, this study advances the concept of intelligent mining, offering innovative solutions that enhance operational efficiency while fostering environmental stewardship."
data mining,10.1007/978-3-031-96841-9_2,Analyzing Side-Tracking of Developers Using Object-Centric Process Mining,"Managers need to analyze the software development process to pro-actively make decisions that meet quality, budget and time objectives. To aid this analysis, a number of data-driven approaches exist, which can be used for specific purposes, such as computing target key performance indicators (KPIs). In particular, process analysis techniques, like process mining, can analyze data from event logs of information systems and deliver actionable insights on how the process is conducted. However, traditional process mining techniques make strong assumptions on the structure of event logs, requiring the existence of a case identifier, used to group the traces. As a result, the output of such techniques only provides a narrow view of the reality, leading the manager towards wrong interpretations in cases of side-tracking , when a developer is involved in different processes that interleave one another. To account for these cases, we investigate the use of object-centric process mining (OCPM) to analyze software repositories. Our results help to explain performance issues by revealing the contributing factors that hinder the progress of development tasks."
data mining,10.1007/978-3-031-98033-6_6,Trustworthy Artificial Neural Networks Due to Process Mining in AI: Challenges and Opportunities,"Although there has been a lot of progress in developing Process Mining (PM) algorithms and Artificial Intelligence (AI) techniques in recent years, no effort has been put in developing a common means of mining knowledge-based behavior of Artificial Neural Networks (ANN). In a design-science-oriented way, in this paper, elements of a new kind of AI-PM approach are outlined and demonstrated with ANN. These intend to enable (1) AI engineers to mine an ANN’s inner processes to discover its knowledge-induced behavior, realize conformance checking, e.g. w.r.t. an ANN required behavior, and improve ANN due to enhancement. To illustrate the application of this new approach, a set of novel model views and algorithms are proposed, which are demonstrated on simple example logs. Findings show that AI-PM supports the clarification of ANN behavior: As the ANN’s inner activities and knowledge generation can be mined, its non-transparent black box is unveiled and trustworthiness of ANN is supported."
data mining,10.1007/978-3-031-93601-2_20,Leveraging General Unary Hypotheses Automaton for Automating Technical Analysis: A Case Study on Bitcoin Prices,"This paper explores the application of the General Unary Hypotheses Automaton (GUHA) framework to automate the principles of technical analysis, focusing on Bitcoin price prediction. By leveraging technical indicators, such as the Relative Strength Index (RSI), Average Directional Index (ADX), and Bollinger Bands, this study employs data mining techniques to automate insights from technical analysis. The 4 ft-Miner and CF-Miner procedures, implemented through the CleverMiner Python framework, were applied to Bitcoin price data spanning from 2014 to 2024. The findings demonstrate the effectiveness of GUHA in identifying robust predictive patterns. Rules mined via 4 ft-Miner achieved 80.65% confidence in predicting next-day price decreases and 96.15% confidence in forecasting significant upward movements (next-day high exceeding a 1% increase over the opening price). CF-Miner further categorized price return probabilities, enhancing interpretability and revealing ordered insights into the prediction of positive returns. These results underscore GUHA’s potential to automate and enhance the efficiency of technical analysis, providing actionable intelligence for automated trading and financial risk management. By offering interpretable patterns and statistically significant relationships, the GUHA framework bridges the gap between traditional technical analysis and modern algorithmic trading strategies. Future research may extend this approach to longer-term trend predictions and multi-asset portfolios, further advancing the automation of financial market analysis."
data mining,10.1007/978-3-031-93598-5_20,Boosting the Discovery of Interval Patterns Using SAT,"Declarative pattern mining has seen significant advancements in recent years, particularly through the application of symbolic AI techniques on various data types, including binary, numerical, and graph data, etc. The core idea behind these approaches is to reformulate the task of pattern mining as a model enumeration problem in classical logic. These methods have been developed for their flexibility, allowing for easier incorporation of additional user constraints during the mining process. In this paper, we first present a symbolic approach for enumerating closed interval patterns using the propositional satisfiability problem (SAT). Then, by extending the SAT-based encoding of classical patterns with additional constraints to eliminate redundancy, our method proves to be highly efficient. Finally, experimental evaluations on various datasets demonstrate that our SAT-based framework is highly competitive with state-of-the-art approaches, even on large numerical databases."
data mining,10.1007/978-3-032-02515-9_21,In Search of Digital Talent: Evidence from Public Sector Job Advertisements in Germany Using LLM-Enabled Competence Classification,"The public sector continues to struggle with the digital transformation of its organizations, lagging behind the private sector in implementing digital processes and services. A key success factor is the availability of appropriate digital skills in the workforce. This can be enhanced by training existing staff or hiring skilled individuals. In the latter scenario, the hiring process must focus on the required competencies. Typically, job advertisements are used to communicate job requirements. his article explores the presence of digital competencies in job ads of German public organizations. We operationalize the DigComp 2.2 framework as a category system to identify required digital competences in these job advertisements. To assess a large volume of job postings, we employ a Large Language Model (LLM) for categorization. In this way, we are able to process 5,949 job advertisements. Results indicate frequent mentions of skills related to digital content creation and data handling, while communication, problem-solving, and safety are rarely highlighted. Although the reasons for this are not explicitly identified in our study, a mismatch is evident between the push for digital transformation in the public sector and the recruitment practices reflected in job advertisements."
information retrieval,10.1007/978-3-031-93257-1_9,KG-ASI: A Knowledge Graph Enhanced Model-Based Retriever for Document Retrieval,"Model-based retrieval is an emerging information retrieval paradigm, which directly returns ranked docids of relevant documents for a given query input, based on a pre-trained generative language model. For model-based retrievers, how to define and represent docid is a vital issue affecting retrieval performance. Existing methods lean solely on mining information from the unstructured corpus itself to generate docids, suffering from a lack of structural information to characterize document relations. To tackle this problem, we explore a novel model-based retrieval framework named KG-ASI, enhanced by an external knowledge graph. Specifically, rich structural knowledge is injected into docids through graph representation learning on a corpus-related KG subgraph as external knowledge enhancement, facilitating the end-to-end training process. Besides, to mitigate the exposure bias in query generation, we extend beyond original supervised fine-tuning by implementing a novel contrastive learning method to fine-tune the pre-trained query generation model, augmenting the quality of pseudo-queries. Experiments on two public benchmarks demonstrate the superiority of KG-ASI over strong baselines across common metrics, verifying the effectiveness of our proposed method."
information retrieval,10.1007/978-3-032-00350-8_17,AI for Intelligent Data Retrieval,"In the era of big data and complex information systems, traditional database query methods often struggle to provide accurate and relevant results, particularly in large-scale or unstructured datasets. This paper explores the integration of artificial intelligence (AI) techniques to enhance data retrieval in modern database systems, focusing on improving query accuracy and relevance. AI-driven approaches, such as natural language processing (NLP), machine learning (ML), and deep learning, enable databases to better understand query intent, deliver semantically meaningful results, and adapt to user preferences. This paper also examines how AI can optimize query performance through contextual awareness, semantic search, and personalized retrieval, which go beyond conventional indexing and query optimization strategies. Additionally, it discusses real-world applications of AI-enhanced data retrieval, including search engines, recommendation systems, and intelligent database systems. While AI offers significant advantages, challenges such as data quality, model interpretability, and computational scalability remain. The paper concludes with an outlook on the future of AI in database systems, highlighting emerging trends like hybrid query systems and the potential role of quantum computing in revolutionizing data retrieval processes. By bridging AI with database technologies, this research provides valuable insights into the transformative potential of intelligent data retrieval for next-generation information systems."
information retrieval,10.1007/978-3-031-97141-9_32,ReSHQ: Re-ranking Based on the Similarity Between Hypothetical Query and Query,"This paper proposes a novel retrieval method, ReSHQ (Reranking based on the Similarity between Hypothetical query and Query), aimed at improving retrieval accuracy without needing labeled dataset training and reducing reliance on the internal knowledge of language models. ReSHQ generates hypothetical queries from documents using language models and re-ranks retrieval results based on the similarity between the input query and the hypothetical queries. Experiments using the Web search datasets (TREC DL19/20) demonstrated that ReSHQ outperformed the conventional BM25 method, particularly in nDCG@k. While ReSHQ did not surpass HyDE, a conventional method that also does not require labeled dataset training, in overall performance, it achieved comparable or superior accuracy in nDCG@1. Compared to HyDE, ReSHQ exhibited lower retrieval performance with large language models but achieved comparable or superior performance with smaller language models, indicating a reduced reliance on internal knowledge. Experiments using low-resource datasets (BEIR) showed that ReSHQ underperformed compared to BM25. However, the proposed method showed results suggesting its effectiveness in datasets with short document lengths and in question-answering tasks. These results indicate that ReSHQ is effective in Web search datasets and is a promising method, especially for smaller language models. Future challenges include improving the method of generating hypothetical queries and evaluating performance on diverse datasets."
